#geography multi word dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#	   5) Removed information present in  ( ) Ex:Advective thunder storm aBivahanI wadZIw JaMJA (aBivAhI wadZiw JaMJA)
			to advective_thunder_storm	aBivahanI_wadZIw_JaMJA
#################################################################################
aegean_area	ijIyana_kRewra#ijIyana_kRewra#noun#2#RM
aegean_vase	ijIyana_kalaSa#ijIyana_kalaSa#noun#2#RM
aeolian_(_eloain_)	vAyUDZa/vAwoDZa#vAyUDZa/vAwoDZa#noun#3#RM
aeolian_action	vAyUDZa_kriyA#vAyUDZa_kriyA#noun#2#RM
aeolian_clay	vAwoDZa_mqwwikA#vAwoDZa_mqwwikA#noun#2#RM
aeolian_cross-stratification	vAwoDZa_wiryaka-swaraNa#vAwoDZa_wiryaka-swaraNa#noun#2#RM
aeolian_deposit	vAwoDZa_nikRepa#vAwoDZa_nikRepa#noun#2#RM
aeolian_rock	vAwoDZa_SEla#vAwoDZa_SEla#noun#2#RM
aeolian_rock_sculpute	vAyUDZa_SEla_wakRaNa#vAyUDZa_SEla_wakRaNa#noun#3#RM
aerated_soil	vAwiwa_mqxA#vAwiwa_mqxA#noun#2#RM
aeration_of_soil	mqxAvAwana#mqxAvAwana#noun#3#RM
aerial_bridge	nilambI_pula#nilambI_pula#noun#2#RM
aerial_camera	vAyu-kEmarA#vAyu-kEmarA#noun#2#RM
aerial_community	vAyava_samuxAya#vAyava_samuxAya#noun#2#RM
aerial_drought	vAyu_SuRkawA#vAyu_SuRkawA#noun#2#RM
aerial_fortress	AkASI_xurga#AkASI_xurga#noun#2#RM
aerial_negative	AkASI_negetiva/vAyava_negetiva#AkASI_negetiva/vAyava_negetiva#noun#2#RM
aerial_photo-interpretation	vAyava_PZoto_nirvacana#vAyava_PZoto_nirvacana#noun#2#RM
aerial_photogrammetry	vAyava_PZotogrAmamiwi#vAyava_PZotogrAmamiwi#noun#2#RM
aerial_photograph	vAyava_PZoto#vAyava_PZoto#noun#2#RM
aerial_photography	vAyava_PZotogrAPZI#vAyava_PZotogrAPZI#noun#2#RM
aerial_ropeway	vAyava_rajjumArga#vAyava_rajjumArga#noun#2#RM
aerial_survey	AkASI_sarvekRaNa#AkASI_sarvekRaNa#noun#2#RM
aerial_velocity	vAyava_vega#vAyava_vega#noun#2#RM
aerial_view	havAI_xqSya#havAI_xqSya#noun#2#RM
aerial_warfare	havAI_yuxXa#havAI_yuxXa#noun#2#RM
aeriform_fluid	vAyusama_warala#vAyusama_warala#noun#2#RM
aerocopic_plate	vAyuxarSI_patta#vAyuxarSI_patta#noun#2#RM
aerodisperse_system	vAyuyaparikRipwa_waMwra#vAyuyaparikRipwa_waMwra#noun#2#RM
aerodrome_abstruction_chart_type_a_(operating_limitation_)	havAI_addA_mOsamavijFAna_havAI_addA_bAXA-cArta_ka_SreNI#havAI_addA_mOsamavijFAna_havAI_addA_bAXA-cArta_ka_SreNI#noun#7#RM
aerodrome_aobstruction_chart_type_“b”_(_comprehensive_)	havAI_addA_bAXA-cArta_Ka_SreNI#havAI_addA_bAXA-cArta_Ka_SreNI#noun#7#RM
aerodrome_beacon	havAI_addA_bIkana#havAI_addA_bIkana#noun#2#RM
aerodrome_climatology	havAI_addA_jalavAyuvijFAna#havAI_addA_jalavAyuvijFAna#noun#2#RM
aerodrome_control	havAI_addA_niyaMwraNa#havAI_addA_niyaMwraNa#noun#2#RM
aerodrome_meteorology	havAI_addA_mOsamavijFAna#havAI_addA_mOsamavijFAna#noun#2#RM
aerodrome_reference_point	havAI_addA_nirxeSa_binxu#havAI_addA_nirxeSa_binxu#noun#3#RM
aerodynamic_roughness	vAyugawika_rUkRawA#vAyugawika_rUkRawA#noun#2#RM
aerodynamic_smoothness	vAyugawika_arUkRawA#vAyugawika_arUkRawA#noun#2#RM
aerologic_(_=aerological_)	vAyuvijFAnIya#vAyuvijFAnIya#noun#3#RM
aerological_ascent	vAyuvijFAnIya_ArohaNa#vAyuvijFAnIya_ArohaNa#noun#2#RM
aerological_diagram	vAyuvijFAnIya_reKAciwra/vAyuvijFAnIya_AreKa#vAyuvijFAnIya_reKAciwra/vAyuvijFAnIya_AreKa#noun#2#RM
aeromagnectice_surveying	vAyucuMbakIya_sarvekRaNa#vAyucuMbakIya_sarvekRaNa#noun#2#RM
aeronautical_beacon	vEmAnika_bIkana#vEmAnika_bIkana#noun#2#RM
aeronautical_chart	vEmAnika_cArta#vEmAnika_cArta#noun#2#RM
aeronautical_climatology	vEmAnika_jalavAyu_vijFAna#vEmAnika_jalavAyu_vijFAna#noun#2#RM
aeronautical_engineer	vEmAnika_iMjIniyara#vEmAnika_iMjIniyara#noun#2#RM
aeronautical_plotting_chart	vEmAnika_AleKana_cArta#vEmAnika_AleKana_cArta#noun#3#RM
aeronautical_route_chart	vEmAnika_mArga_cArta#vEmAnika_mArga_cArta#noun#3#RM
aeronautical_unit	vEmAnika_ekaka#vEmAnika_ekaka#noun#2#RM
aesthetic_reason	sOnxaryAwmaka_kAraNa#sOnxaryAwmaka_kAraNa#noun#2#RM
aeta_people	AetA_jana#AetA_jana#noun#2#RM
affluent_society	samqxXa_samAja#samqxXa_samAja#noun#2#RM
african_negrillo	aPrIkI_negrilo#aPrIkI_negrilo#noun#2#RM
african_tornado	aPrIkI-tAranedo#aPrIkI-tAranedo#noun#2#RM
african_town	aPrIkI_nagara#aPrIkI_nagara#noun#2#RM
after_effect	uwwara_praBAva#uwwara_praBAva#noun#2#RM
after_glow	uwwara_xIpwi#uwwara_xIpwi#noun#2#RM
agaricultural_statistics	kqRi-sAMKyikI/kqRi_AzkadZe#kqRi-sAMKyikI/kqRi_AzkadZe#noun#2#RM
agate_bearing	Egeta_beyariMga#Egeta_beyariMga#noun#2#RM
age_of_discovery	Koja_kAla#Koja_kAla#noun#3#RM
age_of_tide	jvAra_avaXi#jvAra_avaXi#noun#3#RM
ageing_population	vqxxonmuKa_janasaMKyA#vqxxonmuKa_janasaMKyA#noun#2#RM
ageostrophic_velocity	aBUvikRepI_vega#aBUvikRepI_vega#noun#2#RM
ageostrophic_wind	aBUvikRapI_pavana#aBUvikRapI_pavana#noun#2#RM
agggradational_ice	waloccana_hima#waloccana_hima#noun#2#RM
agglomerated_settlement	ekawriwa_baswI#ekawriwa_baswI#noun#2#RM
agglomeration_of_group	varga_samUhana#varga_samUhana#noun#3#RM
agglutinating_tongue	saMSleRaNAwmaka_bolI#saMSleRaNAwmaka_bolI#noun#2#RM
aggradation_ridge	waloccana_kataka#waloccana_kataka#noun#2#RM
aggradational_plain	waloccana_mExAna#waloccana_mExAna#noun#2#RM
aggradational_work	walojjana_kArya#walojjana_kArya#noun#2#RM
aggraded_bank	walocca_wata#walocca_wata#noun#2#RM
aggraded_flood_plain	walocciwa_bADZa_mExAna#walocciwa_bADZa_mExAna#noun#3#RM
aggrading_stream	waloccanI_sariwA#waloccanI_sariwA#noun#2#RM
aggregate_travel_model	kula_yAwrA_nixarSa#kula_yAwrA_nixarSa#noun#3#RM
agrarain_movement	kqRi-BUmi-Anxolana#kqRi-BUmi-Anxolana#noun#2#RM
agrarian_area	kqRi_BUmi_kRewra#kqRi_BUmi_kRewra#noun#2#RM
agrarian_society	kREwrika_samAja/Kewihara_samAja#kREwrika_samAja/Kewihara_samAja#noun#2#RM
agrarian_zone	kqRya_kRewra#kqRya_kRewra#noun#2#RM
agreement_of_prediction	prAgukwi_sammela#prAgukwi_sammela#noun#3#RM
agricultural_area	kqRi_-kRewra#kqRi_-kRewra#noun#2#RM
agricultural_climatology	kqRi-jalavAyu_vijFAna#kqRi-jalavAyu_vijFAna#noun#2#RM
agricultural_complex	kqRi-sammiSra#kqRi-sammiSra#noun#2#RM
agricultural_ecology	kqRi_pArisWiwikI#kqRi_pArisWiwikI#noun#2#RM
agricultural_economy	kqRi-arWa-vyavasWA#kqRi-arWa-vyavasWA#noun#2#RM
agricultural_frontier	kqRi-sImAnwa#kqRi-sImAnwa#noun#2#RM
agricultural_geography	kqRi_BUgola#kqRi_BUgola#noun#2#RM
agricultural_landscape	kqRi-xqSyaBUmi#kqRi-xqSyaBUmi#noun#2#RM
agricultural_life	kqRi_jIvana#kqRi_jIvana#noun#2#RM
agricultural_map	kqRi-mAnaciwra#kqRi-mAnaciwra#noun#2#RM
agricultural_meteorological_observatory	kqRi-mOsama_prekRaNaSAlA#kqRi-mOsama_prekRaNaSAlA#noun#3#RM
agricultural_meteorology	kqRi_mOsamavijFAna#kqRi_mOsamavijFAna#noun#2#RM
agricultural_population	kqRi_janasaMKyA#kqRi_janasaMKyA#noun#2#RM
agricultural_practice	kqRi-paxXawi#kqRi-paxXawi#noun#2#RM
agricultural_produce	kqRi-uwpAxa#kqRi-uwpAxa#noun#2#RM
agricultural_region	kqRi-praxeSa#kqRi-praxeSa#noun#2#RM
agricultural_village	kqRi-grAma#kqRi-grAma#noun#2#RM
agro-industrial_society	kqRiuxyoga_samAja#kqRiuxyoga_samAja#noun#2#RM
agro_industry	kqRi-uxyoga#kqRi-uxyoga#noun#2#RM
agroclimatic_classification	kqRi_jalavAyavika_vargIkaraNa#kqRi_jalavAyavika_vargIkaraNa#noun#2#RM
agromet_advisory_service	kqRi-mOsama_parAmarSa_sevA#kqRi-mOsama_parAmarSa_sevA#noun#3#RM
agropyron_junceum	EgropAyarana_jaMsiyama#EgropAyarana_jaMsiyama#noun#2#RM
agrostis_pasture	Egrostisa_jarAgAha#Egrostisa_jarAgAha#noun#2#RM
agulhas_current	eguhAsa_XArA#eguhAsa_XArA#noun#2#RM
ahermatypic_coral	aharamAprarUpI_pravAla#aharamAprarUpI_pravAla#noun#2#RM
air-current_map	vAyu-pravAha_nakSA#vAyu-pravAha_nakSA#noun#2#RM
