#computer science multi word dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#	   5) Removed information present in  ( ) Ex:Advective thunder storm aBivahanI wadZIw JaMJA (aBivAhI wadZiw JaMJA)
			to advective_thunder_storm	aBivahanI_wadZIw_JaMJA
#################################################################################
addressable_storage	pawAyogya_BaMdAraNa#pawAyogya_BaMdAraNa#noun#2#RM
addressable_vertical_position	pawAyogya_UrXvAXara_sWiwi#pawAyogya_UrXvAXara_sWiwi#noun#3#RM
addressed_memory	pawAyukwa_smqwi#pawAyukwa_smqwi#noun#2#RM
addressing_character	pawABigamana_saMprawIka#pawABigamana_saMprawIka#noun#2#RM
addressing_interrupt	pawABigamana_aMwarAyana#pawABigamana_aMwarAyana#noun#2#RM
addressing_loop	pawABigamana_pASa#pawABigamana_pASa#noun#2#RM
addressing_virtual_memory	pawABigamana_ABAsI_smqwi#pawABigamana_ABAsI_smqwi#noun#3#RM
addressless_instruction_format	pawArahiwa_anuxeSa_saMrupa#pawArahiwa_anuxeSa_saMrupa#noun#3#RM
adjacency_structure	saMlagnawA_saMracanA#saMlagnawA_saMracanA#noun#2#RM
adjacent_channel	saMlagna_praNAla#saMlagna_praNAla#noun#2#RM
adjacent_domain	saMlagna_prAMwa#saMlagna_prAMwa#noun#2#RM
adjacent_matrix	sahaKaMdaja_mEtriksa#sahaKaMdaja_mEtriksa#noun#2#RM
adjacent_node	saMlagna_AsaMXi#saMlagna_AsaMXi#noun#2#RM
adjacent_subarea	saMlagna_upakRewra#saMlagna_upakRewra#noun#2#RM
adjoint_(_system_)	saMlagna#saMlagna#noun#3#RM
adjust_text_mode	samAyojya_pATyAMSa_viXA#samAyojya_pATyAMSa_viXA#noun#3#RM
adjustable_extent	samAyojya_viswAra#samAyojya_viswAra#noun#2#RM
administrative_data_processing	praSAsanika_AzkadZA_saMsAXana#praSAsanika_AzkadZA_saMsAXana#noun#3#RM
administrative_operation	praSAsanika_pracAlana#praSAsanika_pracAlana#noun#2#RM
administrative_operator	praSAsanika_pracAlaka#praSAsanika_pracAlaka#noun#2#RM
administrative_operator_station	praSAsanika_pracAlana_kenxra#praSAsanika_pracAlana_kenxra#noun#3#RM
administrative_support_system	praSAsana_sahAya_waMwra#praSAsana_sahAya_waMwra#noun#3#RM
advanced_communication_service	unnawa_saMcAra_sevA#unnawa_saMcAra_sevA#noun#3#RM
advanced_information_system	unnawa_sUcanA_waMwra#unnawa_sUcanA_waMwra#noun#3#RM
advanced_optical_character_reader	unnawa_prakASika_saMprawIka_paTiwra#unnawa_prakASika_saMprawIka_paTiwra#noun#4#RM
advanced_scientific_computer	unnawa_vEjFAnika_aBikaliwra#unnawa_vEjFAnika_aBikaliwra#noun#3#RM
aggregate_expression	puMja_vyaMjaka#puMja_vyaMjaka#noun#2#RM
aiming_circle	saMXAniwra#saMXAniwra#noun#2#RM
aiming_field_(_=_aiming_symbol_)	saMXAna_prawIka#saMXAna_prawIka#noun#6#RM
aiming_symbol	saMXAna_prawIka#saMXAna_prawIka#noun#2#RM
airborne_computer_system	vAyuvAhiwa_aBikaliwra_waMwra#vAyuvAhiwa_aBikaliwra_waMwra#noun#3#RM
algebraic_eigenvalue_problem	bIjIya_AiganamAna_samasyA#bIjIya_AiganamAna_samasyA#noun#3#RM
algebraic_integration	bIjIya_samAkalana#bIjIya_samAkalana#noun#2#RM
algebraic_language	bIjIya_BARA/bIja_BARA#bIjIya_BARA/bIja_BARA#noun#2#RM
algebraic_manipulation	bIjIya_prakalana#bIjIya_prakalana#noun#2#RM
algebraic_manipulation_language	bIjIya_prakalana_BARA#bIjIya_prakalana_BARA#noun#3#RM
algebraic_oriented_language	bIjonmuKI_BARA#bIjonmuKI_BARA#noun#3#RM
algebraic_shift	bIjIya_visWApana#bIjIya_visWApana#noun#2#RM
algebraic_sign_convention	bIjIya_cihna_paripAtI#bIjIya_cihna_paripAtI#noun#3#RM
algol_feature	ElgoYla_lakRaNa#ElgoYla_lakRaNa#noun#2#RM
algol_programming	ElgoYla_kramAxeSana#ElgoYla_kramAxeSana#noun#2#RM
algorithm_associative_language	kalana_viXi_sAhacarya_BARA#kalana_viXi_sAhacarya_BARA#noun#3#RM
algorithm_classification	kalana_viXi_vargIkaraNa#kalana_viXi_vargIkaraNa#noun#2#RM
algorithm_complexity	kalana_viXi_jatilawA#kalana_viXi_jatilawA#noun#2#RM
algorithm_computability	kalana_viXi_aBikalanIyawA#kalana_viXi_aBikalanIyawA#noun#2#RM
algorithmic_analysis	kalana_viXi_viSleRaNa#kalana_viXi_viSleRaNa#noun#2#RM
algorithmic_approach	kalanaviXIya_upagamana#kalanaviXIya_upagamana#noun#2#RM
algorithmic_language	kalanaviXIya_BARA#kalanaviXIya_BARA#noun#2#RM
algorithmic_routine	kalanaviXIya_nemakA#kalanaviXIya_nemakA#noun#2#RM
algorithmic_theory	kalanaviXIya_sixXAMwa#kalanaviXIya_sixXAMwa#noun#2#RM
alias_name_(_=_alternative_name_)	apara_nAma/urPa_nAma#apara_nAma/urPa_nAma#noun#6#RM
all-purpose_computer	sarvoxxeSIya_aBikaliwra#sarvoxxeSIya_aBikaliwra#noun#2#RM
allocation_structure	niyawana_saMracanA#niyawana_saMracanA#noun#2#RM
alphabetic_character	akRarAwmaka_saMprawIka#akRarAwmaka_saMprawIka#noun#2#RM
alphabetic_character_set	akRarAwmaka_saMprawIka_samuccaya#akRarAwmaka_saMprawIka_samuccaya#noun#3#RM
alphabetic_character_subset	akRarAwmaka_saMprawIka_upasamuccaya#akRarAwmaka_saMprawIka_upasamuccaya#noun#3#RM
alphabetic_code	akRarAwmaka_kUta#akRarAwmaka_kUta#noun#2#RM
alphabetic_shift	akRarAwmaka_visWApana#akRarAwmaka_visWApana#noun#2#RM
alphabetic_string	akRarAwmaka_rajju#akRarAwmaka_rajju#noun#2#RM
alphabetic_word	akRarAwmaka_Sabxa#akRarAwmaka_Sabxa#noun#2#RM
alphanumeric_character_set	akRarAMkIya_saMprawIka_samuccaya#akRarAMkIya_saMprawIka_samuccaya#noun#3#RM
alphanumeric_code	akRarAMkIya_kUta#akRarAMkIya_kUta#noun#2#RM
alphanumeric_coded_character_set	akRarAMkIya_kUtaliKiwa_saMprawIka_samuccaya#akRarAMkIya_kUtaliKiwa_saMprawIka_samuccaya#noun#4#RM
alphanumeric_data	akRarAMkIya_AzkadZe#akRarAMkIya_AzkadZe#noun#2#RM
alphanumeric_display_device	akRarAMkIya_praxarSa_yukwi#akRarAMkIya_praxarSa_yukwi#noun#3#RM
alphanumeric_edited_character	akRarAMkIya_saMpAxiwa_saMprawIka#akRarAMkIya_saMpAxiwa_saMprawIka#noun#3#RM
alphanumeric_field	akRarAMkIya_kRewra#akRarAMkIya_kRewra#noun#2#RM
alphanumeric_instruction	akRarAMkIya_anuxeSa#akRarAMkIya_anuxeSa#noun#2#RM
alphanumeric_keyboard	akRarAMkIya_kuMjI_patala#akRarAMkIya_kuMjI_patala#noun#2#RM
alphanumeric_sort	akRarAMkIya_SAtana#akRarAMkIya_SAtana#noun#2#RM
alphanumeric_storage	akRarAMkIya_BaMdAraNa#akRarAMkIya_BaMdAraNa#noun#2#RM
alphanumerical_keyboard_device	akRarAMkIya_kuMjIpatala_yukwi#akRarAMkIya_kuMjIpatala_yukwi#noun#3#RM
alter_mode	parivarwana_viXA#parivarwana_viXA#noun#2#RM
alterable_memory	parivarwanIya_smqwi#parivarwanIya_smqwi#noun#2#RM
alteration_switch	parivarwana_svica#parivarwana_svica#noun#2#RM
alternate_recovery	vEkalpika_punaHprApwi#vEkalpika_punaHprApwi#noun#2#RM
alternate_route	vEkalpika_mArga#vEkalpika_mArga#noun#2#RM
alternate_routing	vEkalpika_mArgacayana#vEkalpika_mArgacayana#noun#2#RM
alternate_track	vEkalpika_mArga#vEkalpika_mArga#noun#2#RM
