#space multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#################################################################################
a._c._conductivity	e.sI._cAlakawA#e.sI._cAlakawA#noun#3#RM
gamma_function	gAmA_Palana#gAmA_Palana#noun#2#RM
gamma_phase	gAmA_prAvasWA/gAmA_PZeja/gAmA_kalA#gAmA_prAvasWA/gAmA_PZeja/gAmA_kalA#noun#2#RM
gamma_probability	gAmA_prAyikawA#gAmA_prAyikawA#noun#2#RM
gamma_ray	gAmA_kiraNa#gAmA_kiraNa#noun#2#RM
gamma_ray_spectrometer	gAmA_kiraNa_spektramamApI#gAmA_kiraNa_spektramamApI#noun#3#RM
gamma_ray_telescope	gAmA_kiraNa_xUraxarSI#gAmA_kiraNa_xUraxarSI#noun#3#RM
gas_analysis	gEsa_viSleRaNa#gEsa_viSleRaNa#noun#2#RM
gas_bleed	gEsa_srAva#gEsa_srAva#noun#2#RM
gas_bottle	gEsa_bowala#gEsa_bowala#noun#2#RM
gas_chamber	gEsa_koRTa/gEsa_kakRa#gEsa_koRTa/gEsa_kakRa#noun#2#RM
gas_constant	gEsa_niyawAMka#gEsa_niyawAMka#noun#2#RM
gas_cracking	gEsa_BaMjana#gEsa_BaMjana#noun#2#RM
gas_cycle_refrigeration_system	gEsa_cakra_praSIwana_waMwra#gEsa_cakra_praSIwana_waMwra#noun#4#RM
gas_densitometer	gEsa_GanawvamApI#gEsa_GanawvamApI#noun#2#RM
gas_driven_turbo_pump	gEsacAliwa_tarbo_paMpa#gEsacAliwa_tarbo_paMpa#noun#4#RM
gas_engine	gEsa_iMjana#gEsa_iMjana#noun#2#RM
gas_expulsion	gEsa_bahiRkaraNa#gEsa_bahiRkaraNa#noun#2#RM
gas_film	gEsa_PZilma#gEsa_PZilma#noun#2#RM
gas_furnace	gEsa_BattI#gEsa_BattI#noun#2#RM
gas_generator	gEsa_janaretara/gEsa_janiwra#gEsa_janaretara/gEsa_janiwra#noun#2#RM
gas_generator_injector	gEsa_janiwra_aMwa:kRepiwra#gEsa_janiwra_aMwa:kRepiwra#noun#3#RM
gas_generator_mixture_ratio	gEsa_janiwra_miSraNa_anupAwa#gEsa_janiwra_miSraNa_anupAwa#noun#4#RM
gas_generator_pressurization	gEsa_janiwra_xAbIkaraNa#gEsa_janiwra_xAbIkaraNa#noun#3#RM
gas_holder	gEsa_taMkI#gEsa_taMkI#noun#2#RM
gas_jet_misalignment	gEsa_jeta_apareKaNa/gEsa_jeta_kureKaNa#gEsa_jeta_apareKaNa/gEsa_jeta_kureKaNa#noun#3#RM
gas_laser	gEsa_lesara#gEsa_lesara#noun#2#RM
gas_law_constant	gEsa_niyama_sWirAMka#gEsa_niyama_sWirAMka#noun#3#RM
gas_lift	gEsa_liPta#gEsa_liPta#noun#2#RM
gas_liquid_chemical_reaction	gEsa_warala_rasAyanika_kriyA#gEsa_warala_rasAyanika_kriyA#noun#4#RM
gas_phase_mixing	gEsa_prAvasWA_miSraNa#gEsa_prAvasWA_miSraNa#noun#3#RM
gas_pressure	gEsa_xAba#gEsa_xAba#noun#2#RM
gas_propellant_rocket_engine	gEsa_noxaka_rAketa_iMjana#gEsa_noxaka_rAketa_iMjana#noun#4#RM
gas_ratio	gEsAnupAwa#gEsAnupAwa#noun#2#RM
gas_reaction_nozzle	gEsa_prakriyA_wuMda#gEsa_prakriyA_wuMda#noun#3#RM
gas_refrigeration	gEsIya_praSIwana#gEsIya_praSIwana#noun#2#RM
gas_regulator	gEsa_niyAmaka#gEsa_niyAmaka#noun#2#RM
gas_solid_chemical_reaction	gEsa_Tosa_rAsAyanika_prakriyA#gEsa_Tosa_rAsAyanika_prakriyA#noun#4#RM
gas_solid_separation	gEsa_Tosa_pqWakkaraNa#gEsa_Tosa_pqWakkaraNa#noun#3#RM
gas_turbine	gEsa_tarabAina#gEsa_tarabAina#noun#2#RM
gas_welding	gEsa_veliM_daga#gEsa_veliM_daga#noun#2#RM
gaseous_diffusion	gEsIya_visaraNa#gEsIya_visaraNa#noun#2#RM
gaseous_heat_conduction	gEsIya_URmA_cAlana#gEsIya_URmA_cAlana#noun#3#RM
gaseous_injector	gEsIya_aMwa:kRepaNa#gEsIya_aMwa:kRepaNa#noun#2#RM
gaseous_state	gEsIya_avasWA#gEsIya_avasWA#noun#2#RM
gate_valve	geta_vAlva/xvAra_kapAta#geta_vAlva/xvAra_kapAta#noun#2#RM
gated_time_delay	xvAriwa_kAla_vilaMba#xvAriwa_kAla_vilaMba#noun#3#RM
gauge_factor	pramApa_guNaka#pramApa_guNaka#noun#2#RM
gauge_length	pramApa_laMbAI#pramApa_laMbAI#noun#2#RM
gaussian_noise	gAusIya_rava#gAusIya_rava#noun#2#RM
gaussian_noise_probability	gAusIya_rava_prAyikawA#gAusIya_rava_prAyikawA#noun#3#RM
gaussian_spectrum	gAusIya_spektrama#gAusIya_spektrama#noun#2#RM
gear_pump	giyara_paMpa#giyara_paMpa#noun#2#RM
gega_hertz	gIgA_hartjZa#gIgA_hartjZa#noun#2#RM
geiger_muller_counter	gAigara_mUlara_kAuMtara#gAigara_mUlara_kAuMtara#noun#3#RM
gel_permeation	jela_pAragamana#jela_pAragamana#noun#2#RM
gel_point	jela_biMxu#jela_biMxu#noun#2#RM
gel_time	jela_kAla#jela_kAla#noun#2#RM
generalised_coordinate	vyApakIkqwa_nirxeSAMka#vyApakIkqwa_nirxeSAMka#noun#2#RM
generalised_mass	vyApakIkqwa_xravyamAna#vyApakIkqwa_xravyamAna#noun#2#RM
generalised_projection	vyApakIkqwa_prakRepa#vyApakIkqwa_prakRepa#noun#2#RM
generalised_stress	vyApakIkqwa_prawibala#vyApakIkqwa_prawibala#noun#2#RM
generalised_velocity	vyApakIkqwa_vega#vyApakIkqwa_vega#noun#2#RM
generated_gas	janiwa_gEsa/uwpanna_gEsa#janiwa_gEsa/uwpanna_gEsa#noun#2#RM
generated_gas_pressure	janiwa_gEsa_xAba/uwpanna_gEsa_xAba#janiwa_gEsa_xAba/uwpanna_gEsa_xAba#noun#3#RM
generating_function	janaka_Palana#janaka_Palana#noun#2#RM
generating_plant	uwpAxana_saMyaMwra#uwpAxana_saMyaMwra#noun#2#RM
generation-recombination_noise_generator	janana-saMyojana_rava_janiwra/janaretara#janana-saMyojana_rava_janiwra/janaretara#noun#3#RM
geo_astrophysics	BU-wArA_BOwikI#BU-wArA_BOwikI#noun#2#RM
geodetic_satellite	BUgaNiwIya_upagraha#BUgaNiwIya_upagraha#noun#2#RM
geographic_equator	BOgolika_viRavawa_reKA#BOgolika_viRavawa_reKA#noun#2#RM
geographic_information_system_(_gis_)	BOgolika_sUcanA_praNAlI/jiyogrAPika_inPormeSana_sistama_(jI.AI.esa.)#BOgolika_sUcanA_praNAlI/jiyogrAPika_inPormeSana_sistama_(jI.AI.esa.)#noun#5#RM
geographic_pole	BUgolIya_Xruva#BUgolIya_Xruva#noun#2#RM
geomagnetic_field	BUcuMbakIya_kRewra#BUcuMbakIya_kRewra#noun#2#RM
geomagnetic_storm	BUcuMbakIya_JaMJA/BUcuMbakIya_wUPZAna#BUcuMbakIya_JaMJA/BUcuMbakIya_wUPZAna#noun#2#RM
geomagnetic_tail	BUcuMbakIya_pUMCa#BUcuMbakIya_pUMCa#noun#2#RM
geometric_correction	jyAmiwIya_saMSuxXi#jyAmiwIya_saMSuxXi#noun#2#RM
geometric_distortion	jyAmiwIya_virUpaNa#jyAmiwIya_virUpaNa#noun#2#RM
geometric_matrix	jyAmiwIya_mEtriksa#jyAmiwIya_mEtriksa#noun#2#RM
geometric_transformation	jyAmiwIya_rUpAMwaraNa#jyAmiwIya_rUpAMwaraNa#noun#2#RM
geometrical_operation	jyAmiwIya_pracAlana#jyAmiwIya_pracAlana#noun#2#RM
geometrical_ratio	guNowwara_anupAwa#guNowwara_anupAwa#noun#2#RM
geostationary_satellite	BUsWira_upagraha#BUsWira_upagraha#noun#2#RM
geostatistical_analysis	BU-sAMKyikI_viSleRaNa#BU-sAMKyikI_viSleRaNa#noun#2#RM
geosynchronous_orbit	BUwulyakAlI_kakRA#BUwulyakAlI_kakRA#noun#2#RM
geosynchronous_satellite	BUwulyakAlI_upagraha#BUwulyakAlI_upagraha#noun#2#RM
geothermal_activity	BUwApIya_sakriyawA#BUwApIya_sakriyawA#noun#2#RM
ghost_image	CAyA_prawibiMba/mAyAvI_prawibiMba#CAyA_prawibiMba/mAyAvI_prawibiMba#noun#2#RM
ghost_signal	CAyA_signala/mAyAvI_signala#CAyA_signala/mAyAvI_signala#noun#2#RM
giant_fibers	mahA_waMwu#mahA_waMwu#noun#2#RM
giant_star	Aqhaw_wArA/xAnava_wArA#Aqhaw_wArA/xAnava_wArA#noun#2#RM
gimbal_assembly	gimbala_esembalI#gimbala_esembalI#noun#2#RM
gimbal_component	gambala_Gataka#gambala_Gataka#noun#2#RM
gimbal_lock	gimbala_aBibaMXana#gimbala_aBibaMXana#noun#2#RM
gimbal_mount	gimbala_Aropa/gimbala_Aroha#gimbala_Aropa/gimbala_Aroha#noun#2#RM
gimbal_ring	gimbala_valaya/gimbala_riMga#gimbala_valaya/gimbala_riMga#noun#2#RM
glass_cartridge_fuse	glAsa_kArtrija_PZyUjZa#glAsa_kArtrija_PZyUjZa#noun#3#RM
glide_plane	visarpaNa_wala#visarpaNa_wala#noun#2#RM
global_coverage	BUmaMdalIya_vyApana/BUmaMdalIya_vyApwi#BUmaMdalIya_vyApana/BUmaMdalIya_vyApwi#noun#2#RM
global_positioning_system_(_gps_)	vESvika_sWiwi_nirXAraNa_waMwra/BUmaMdalIya_sWAnana_waMwra_(jI.pI.esa.)#vESvika_sWiwi_nirXAraNa_waMwra/BUmaMdalIya_sWAnana_waMwra_(jI.pI.esa.)#noun#5#RM
global_symbol	sArva_prawIka#sArva_prawIka#noun#2#RM
globular_cluster	golAkAra_wArApuMja#golAkAra_wArApuMja#noun#2#RM
glossy_print	gloYsI_printa#gloYsI_printa#noun#2#RM
glove_box	glava_boYksa/xaswAnA_baksa#glava_boYksa/xaswAnA_baksa#noun#2#RM
glow_plug	xIpwa_plaga#xIpwa_plaga#noun#2#RM
gold_code	golda_koda/svarNa_koda#golda_koda/svarNa_koda#noun#2#RM
gps_guidance_system	jI.pI.esa._vinirxeSaDZa_praNAlI#jI.pI.esa._vinirxeSaDZa_praNAlI#noun#3#RM
gradient_operator	pravaNawA_saMkAraka#pravaNawA_saMkAraka#noun#2#RM
grain_assembly	grena_samuccaya#grena_samuccaya#noun#2#RM
grain_boundary	grena_parisImA#grena_parisImA#noun#2#RM
grain_configuration	grena_aBivinyAsa#grena_aBivinyAsa#noun#2#RM
grain_geometry	grena_jyAmiwi#grena_jyAmiwi#noun#2#RM
grain_size	grena_mApa#grena_mApa#noun#2#RM
grain_structure	grena_saMracanA#grena_saMracanA#noun#2#RM
granular_quantizing	kaNikIya_rASikara#kaNikIya_rASikara#noun#2#RM
graphic_scale	grAPIya_skela#grAPIya_skela#noun#2#RM
graphical_user_interface_(_gui_)	grAPI_prayokwA_aMwarApqRTa#grAPI_prayokwA_aMwarApqRTa#noun#5#RM
gravitational_attraction	guruwvAkarRaNa/guruwvIya_AkarRaNa#guruwvAkarRaNa/guruwvIya_AkarRaNa#noun#2#RM
gravitational_collapse	guruwvIya_nipAwa#guruwvIya_nipAwa#noun#2#RM
gravitational_constant	guruwvIya_sWirAMka#guruwvIya_sWirAMka#noun#2#RM
gravitational_equilibrium	guruwvIya_saMwulana/guruwvIya_sAmyAvasWA#guruwvIya_saMwulana/guruwvIya_sAmyAvasWA#noun#2#RM
gravitational_field	guruwvAkarRaNa_kRewra#guruwvAkarRaNa_kRewra#noun#2#RM
gravitational_force	guruwvIya_bala#guruwvIya_bala#noun#2#RM
gravitational_loss	guruwvIya_hAni#guruwvIya_hAni#noun#2#RM
gravitational_mass	guruwvIya_xravyamAna#guruwvIya_xravyamAna#noun#2#RM
gravitational_matter	guruwvIya_xravya#guruwvIya_xravya#noun#2#RM
gravitational_measurement	guruwvIya_mApana#guruwvIya_mApana#noun#2#RM
gravitational_parameter	guruwvIya_prAcala#guruwvIya_prAcala#noun#2#RM
gravitational_potential	guruwvIya_viBava#guruwvIya_viBava#noun#2#RM
gravitational_potential_energy	guruwvIya_sWiwija_UrjA#guruwvIya_sWiwija_UrjA#noun#3#RM
gravitational_radius	guruwvIya_wrijyA#guruwvIya_wrijyA#noun#2#RM
gravitational_wave	guruwvAkarRaNa_waraMga#guruwvAkarRaNa_waraMga#noun#2#RM
gravity_gradient	guruwva_pravaNawA#guruwva_pravaNawA#noun#2#RM
gravity_wave	guruwvIya_wvaraNa#guruwvIya_wvaraNa#noun#2#RM
gray_code	gre_koda#gre_koda#noun#2#RM
great_bear	sapwarRi_maMdala_grinica_samaya_koNa#sapwarRi_maMdala_grinica_samaya_koNa#noun#2#RM
greenwich_hour_angle_greenwich_mean_time	grinica_mAXya_samaya#grinica_mAXya_samaya#noun#6#RM
greenwich_meridian	grinica_yAmyowwara#grinica_yAmyowwara#noun#2#RM
gregorian_calender	gregorI_kElendara#gregorI_kElendara#noun#2#RM
grey_level	Svewa-SyAma_swara/gre_swara#Svewa-SyAma_swara/gre_swara#noun#2#RM
grey_scale	Svewa-SyAma_mApanI/XUsara_mApanI/gre_skela#Svewa-SyAma_mApanI/XUsara_mApanI/gre_skela#noun#2#RM
grey_tone	Svewa-SyAma_swara_tona#Svewa-SyAma_swara_tona#noun#2#RM
grid_overlay	grida_aXirohI#grida_aXirohI#noun#2#RM
grid_reflector	grida_parAvarwaka#grida_parAvarwaka#noun#2#RM
grinding_machine	sAna_maSIna#sAna_maSIna#noun#2#RM
gross_power	sakala_Sakwi#sakala_Sakwi#noun#2#RM
gross_power_flow	sakala_Sakwi_pravAha#sakala_Sakwi_pravAha#noun#3#RM
ground_check	BU-jAzca#BU-jAzca#noun#2#RM
ground_control	BU-niyaMwraNa#BU-niyaMwraNa#noun#2#RM
ground_control_point	BU-niyaMwraNa_biMxu#BU-niyaMwraNa_biMxu#noun#3#RM
ground_controlled	BUniyaMwriwa_havAI#BUniyaMwriwa_havAI#noun#2#RM
ground_instrumentation	BU-upakaraNa/BUyaMwrAvalI#BU-upakaraNa/BUyaMwrAvalI#noun#2#RM
ground_meteorological	BU-mOsama_vijFAna#BU-mOsama_vijFAna#noun#2#RM
ground_plane_antenna	BU-wala_EntenA#BU-wala_EntenA#noun#3#RM
ground_range	BU-parAsa/BU-kRewra#BU-parAsa/BU-kRewra#noun#2#RM
ground_receiver	BU-aBigrAhI#BU-aBigrAhI#noun#2#RM
ground_resolution	BU-ciwra_viBexana#BU-ciwra_viBexana#noun#2#RM
ground_resolution_element	BU-viBexana_aMSa#BU-viBexana_aMSa#noun#3#RM
ground_safety_plan	BU-surakRA_Ayojana#BU-surakRA_Ayojana#noun#3#RM
ground_speed	BU-sApekRa_gawi#BU-sApekRa_gawi#noun#2#RM
ground_station	BU-steSana#BU-steSana#noun#2#RM
ground_support	BU-sahAyawA#BU-sahAyawA#noun#2#RM
ground_telemetry	BU-xUramiwi#BU-xUramiwi#noun#2#RM
ground_terminal_antenna	BU-tarminala_EntenA#BU-tarminala_EntenA#noun#3#RM
ground_track	BU-anureKa#BU-anureKa#noun#2#RM
ground_truth	Wala_sawya/BUsawya#Wala_sawya/BUsawya#noun#2#RM
ground_visibility	BU-xqSyawA#BU-xqSyawA#noun#2#RM
ground_wind	BU-pavana#BU-pavana#noun#2#RM
ground_wind_response	BU-pavana_anukriyA#BU-pavana_anukriyA#noun#3#RM
group_component	sAmUhika_Gataka#sAmUhika_Gataka#noun#2#RM
group_delay	samUha_vilaMba#samUha_vilaMba#noun#2#RM
group_delay_channel	samUha_vilaMba_cEnala#samUha_vilaMba_cEnala#noun#3#RM
group_velocity	samUha_vega#samUha_vega#noun#2#RM
guard_time	surakRA_kAla#surakRA_kAla#noun#2#RM
guessed_average	anumAniwa_Osawa#anumAniwa_Osawa#noun#2#RM
guidance_and_control	nirxeSana_va_niyaMwraNa#nirxeSana_va_niyaMwraNa#noun#3#RM
guidance_system	nirxeSana_waMwra#nirxeSana_waMwra#noun#2#RM
guided_missile	nirxeSiwa_prakRepAswra/nirxeSiwa_prakRepAswra#nirxeSiwa_prakRepAswra/nirxeSiwa_prakRepAswra#noun#2#RM
guided_propagation	nirxeSiwa_saMcaraNa#nirxeSiwa_saMcaraNa#noun#2#RM
guided_vane	nirxeSa_Palaka#nirxeSa_Palaka#noun#2#RM
guided_wave	nirxeSiwa_waraMga#nirxeSiwa_waraMga#noun#2#RM
guided_wavelength	paWaka_waraMgaxErXya#paWaka_waraMgaxErXya#noun#2#RM
gunn_diode	gana_dAyoda#gana_dAyoda#noun#2#RM
gust_load	Jakora_BAra#Jakora_BAra#noun#2#RM
gust_load_factor	Jakora_BAra_guNaka#Jakora_BAra_guNaka#noun#3#RM
gust_tunnel	Jakora_suraMga#Jakora_suraMga#noun#2#RM
guy_wire	gAI_wAra#gAI_wAra#noun#2#RM
gyro_pick_off	jAyaro_saMkewaxa#jAyaro_saMkewaxa#noun#3#RM
gyro_testing	jAyaro_parIkRaNa#jAyaro_parIkRaNa#noun#2#RM
gyromagnetic_resonance	jAyaro_cuMbakIya_anunAxa#jAyaro_cuMbakIya_anunAxa#noun#2#RM
gyroscopic_coupling	jAyaroskopI_yugmana#jAyaroskopI_yugmana#noun#2#RM
h-mode_function	eca-viXA_Palana#eca-viXA_Palana#noun#2#RM
half_cycle_transmission	arXa_cakra_saMcAraNa#arXa_cakra_saMcAraNa#noun#3#RM
half_life	arXa_Ayu#arXa_Ayu#noun#2#RM
half_line	arXa_reKA#arXa_reKA#noun#2#RM
half_period	arXa_Avarwana_kAla#arXa_Avarwana_kAla#noun#2#RM
half_pill_box_antenna	arXa_golAkAra_EntenA#arXa_golAkAra_EntenA#noun#4#RM
half_power_bandwidth	arXa_Sakwi_bEMda_viswAra#arXa_Sakwi_bEMda_viswAra#noun#3#RM
half_power_frequency	arXa_Sakwi_Avqwwi#arXa_Sakwi_Avqwwi#noun#3#RM
half_power_point	arXa_Sakwi_biMxu#arXa_Sakwi_biMxu#noun#3#RM
half_silvered	arXa_rajawiwa#arXa_rajawiwa#noun#2#RM
half_sine_wave_form	arXa_jyA_waraMgAkAra#arXa_jyA_waraMgAkAra#noun#4#RM
half_thickness	AXI_motAI#AXI_motAI#noun#2#RM
half_wave	arXa_waraMga#arXa_waraMga#noun#2#RM
half_wave_dipole	arXa_waraMga_xviXruva#arXa_waraMga_xviXruva#noun#3#RM
half_wave_line	arXa_waraMga_lAina#arXa_waraMga_lAina#noun#3#RM
half_wave_plate	arXa_waraMga_pleta#arXa_waraMga_pleta#noun#3#RM
half_wave_rectification	arXawaraMga_xiRtakaraNa#arXawaraMga_xiRtakaraNa#noun#3#RM
half_wavelength	arXa_waraMga_xErGya#arXa_waraMga_xErGya#noun#2#RM
half_width	arXa_viswAra/AXI_cOdZAI#arXa_viswAra/AXI_cOdZAI#noun#2#RM
half_word	arXa_Sabxa/SabxArXa#arXa_Sabxa/SabxArXa#noun#2#RM
hammer_crusher	haWOdZA_kraSara/Gana_kraSara#haWOdZA_kraSara/Gana_kraSara#noun#2#RM
hammer_mill	GanacakkI/haWodZA_mila/GanapeRaNI/Ganamila#GanacakkI/haWodZA_mila/GanapeRaNI/Ganamila#noun#2#RM
hamming_distance	hEmiMga_xUrI#hEmiMga_xUrI#noun#2#RM
hamming_window	hEmiMga_viMdo#hEmiMga_viMdo#noun#2#RM
hand_shaking	hAmI_saMkewana#hAmI_saMkewana#noun#2#RM
hand_trolley	haswacAliwa_trAlI#haswacAliwa_trAlI#noun#2#RM
hang_fire	vilaMbiwa_jvalana#vilaMbiwa_jvalana#noun#2#RM
hankel_function	hEMkala_Palana#hEMkala_Palana#noun#2#RM
hard_disk	hArda_diska#hArda_diska#noun#2#RM
hard_error	xuRkara_wruti#xuRkara_wruti#noun#2#RM
hard_gamma_ray	awiveXI_gAmA_kiraNa#awiveXI_gAmA_kiraNa#noun#3#RM
hard_glass	kadZA_kAzca/wApasaha_kAzca#kadZA_kAzca/wApasaha_kAzca#noun#2#RM
hard_image	kadZaka_prawibiMba/kaTora_prawibiMba#kadZaka_prawibiMba/kaTora_prawibiMba#noun#2#RM
hard_landing	kaTora_avawaraNa#kaTora_avawaraNa#noun#2#RM
hard_limiter	kadZaka_sImaka/kaTora_sImaka#kadZaka_sImaka/kaTora_sImaka#noun#2#RM
hard_limiter_linearity	kadZaka_sImaka_rEKikawA/kaTora_sImaka_rEKikawA#kadZaka_sImaka_rEKikawA/kaTora_sImaka_rEKikawA#noun#3#RM
hard_metal	kaTora_XAwu#kaTora_XAwu#noun#2#RM
hard_point	suxqDZa_sWala#suxqDZa_sWala#noun#2#RM
hard_radiation	awiveXI_vikiraNa#awiveXI_vikiraNa#noun#2#RM
hard_shut_down	xurvirAma#xurvirAma#noun#3#RM
hard_start	agrAraMBa#agrAraMBa#noun#2#RM
hard_structure	kadZaka_saMracanA/kaTora_saMracanA#kadZaka_saMracanA/kaTora_saMracanA#noun#2#RM
hard_superconductor	kaTora_awicAlaka#kaTora_awicAlaka#noun#2#RM
hard_target	xurlaBa_lakRya/xuRkara_lakRya#xurlaBa_lakRya/xuRkara_lakRya#noun#2#RM
hard_vacuum	kaTora_nirvAwa#kaTora_nirvAwa#noun#2#RM
hard_water	kaTora_jala/xuRPenaka_jala#kaTora_jala/xuRPenaka_jala#noun#2#RM
hardcore_technology	kaTora_kroda_prOxyogikI#kaTora_kroda_prOxyogikI#noun#2#RM
hardening_alloy	xqDZakArI_miSraXAwu#xqDZakArI_miSraXAwu#noun#2#RM
hardwired_system	suniSciwa_saMbaxXa_waMwra#suniSciwa_saMbaxXa_waMwra#noun#2#RM
harmonic_analyser	saMnAxI_viSleRiwra#saMnAxI_viSleRiwra#noun#2#RM
harmonic_distortion	saMnAxI_virUpaNa#saMnAxI_virUpaNa#noun#2#RM
harmonic_generator	saMnAxI_janiwra/saMnAxI_jenaretara#saMnAxI_janiwra/saMnAxI_jenaretara#noun#2#RM
harmonic_mode	saMnAxI_viXA#saMnAxI_viXA#noun#2#RM
harmonic_oscillator	sarala_AvarwI_xolaka#sarala_AvarwI_xolaka#noun#2#RM
harmonic_suppressor	saMnAxI_niroXaka#saMnAxI_niroXaka#noun#2#RM
hay_stack_antenna	he_stEka_EntenA#he_stEka_EntenA#noun#3#RM
head-on_collision	prawyakRa_saMGatta/Amane-sAmane_takkara#prawyakRa_saMGatta/Amane-sAmane_takkara#noun#2#RM
head_end	SIrRAMwa#SIrRAMwa#noun#2#RM
head_phone	hEda_PZona#hEda_PZona#noun#2#RM
head_set	hEda_sEta#hEda_sEta#noun#2#RM
head_wing	SIrRa_pakRa#SIrRa_pakRa#noun#2#RM
heading_indicator	muKa_xiSA_xarSaka#muKa_xiSA_xarSaka#noun#2#RM
heading_marker	muKa_xiSA_cihnaka#muKa_xiSA_cihnaka#noun#2#RM
heat_absorber	URmA_avaSoRI#URmA_avaSoRI#noun#2#RM
heat_balance	URmA_saMwulana#URmA_saMwulana#noun#2#RM
heat_capacity	URmA_XAriwA#URmA_XAriwA#noun#2#RM
heat_conductor	URmA_cAlaka#URmA_cAlaka#noun#2#RM
heat_content	aMwarnihiwa_URmA/pUrNa_URmA#aMwarnihiwa_URmA/pUrNa_URmA#noun#2#RM
heat_distortion_temperature	URmA_virUpaNa_wApa#URmA_virUpaNa_wApa#noun#3#RM
heat_engine	URmA_iMjana#URmA_iMjana#noun#2#RM
heat_equator	wApIya_BUmaXyareKA#wApIya_BUmaXyareKA#noun#2#RM
heat_exchanger	URmA_vinimayaka#URmA_vinimayaka#noun#2#RM
heat_flow	URmA_pravAha/URmA_cAlana#URmA_pravAha/URmA_cAlana#noun#2#RM
heat_flux	URmA_aBivAha#URmA_aBivAha#noun#2#RM
heat_function	URmA_Palana#URmA_Palana#noun#2#RM
heat_insulation	URmA-roXana#URmA-roXana#noun#2#RM
heat_interchanger	URmA_vinimayaka#URmA_vinimayaka#noun#2#RM
heat_loss	URmA-hAni#URmA-hAni#noun#2#RM
heat_masking	URmA_AcCAxana#URmA_AcCAxana#noun#2#RM
heat_of_absorption	avaSoRaNa-URmA#avaSoRaNa-URmA#noun#3#RM
heat_of_activation	sakriyaNa-URmA#sakriyaNa-URmA#noun#3#RM
heat_of_association	sahayojana-URmA#sahayojana-URmA#noun#3#RM
heat_of_combustion	xahana-URmA#xahana-URmA#noun#3#RM
heat_of_condensation	xravaNa-URmA#xravaNa-URmA#noun#3#RM
heat_of_decomposition	apaGatana-URmA_viyojana-URmA#apaGatana-URmA_viyojana-URmA#noun#3#RM
heat_of_dissociation_heat_of_formation	saMBavana-URmA#saMBavana-URmA#noun#6#RM
heat_of_fusion	galana-URmA#galana-URmA#noun#3#RM
heat_of_ionization	Ayanana-URmA#Ayanana-URmA#noun#3#RM
heat_of_liquefaction	xravaNa-URmA#xravaNa-URmA#noun#3#RM
heat_of_solidification	saMpiMdana-URmA#saMpiMdana-URmA#noun#3#RM
heat_pipe	URmApravAhikA/URmAnalI#URmApravAhikA/URmAnalI#noun#2#RM
heat_proof	URmAsaha#URmAsaha#noun#2#RM
heat_pump	URmA-paMpa#URmA-paMpa#noun#2#RM
heat_rays	URmA-kiraNa#URmA-kiraNa#noun#2#RM
heat_regulation	URmA-niyamana#URmA-niyamana#noun#2#RM
heat_regulator	URmA-niyAmaka#URmA-niyAmaka#noun#2#RM
heat_resistant	URmAroXI#URmAroXI#noun#2#RM
heat_run	wApa_pracAla#wApa_pracAla#noun#2#RM
heat_shield	URmA_parirakRaka/URmA_kavaca#URmA_parirakRaka/URmA_kavaca#noun#2#RM
heat_shock	URmA_praGAwa#URmA_praGAwa#noun#2#RM
heat_sink	URmA_aBigama#URmA_aBigama#noun#2#RM
heat_sink_compound	URmA_aBigama_yOgika#URmA_aBigama_yOgika#noun#3#RM
heat_sink_cooling	URmA_aBigama_SIwana#URmA_aBigama_SIwana#noun#3#RM
heat_stroke	URmAGAwa#URmAGAwa#noun#2#RM
heat_transfer_coefficient	URmA_sWAnAMwaraNa_guNAMka#URmA_sWAnAMwaraNa_guNAMka#noun#3#RM
heat_treatment	URmA-upacAra#URmA-upacAra#noun#2#RM
heated_propellant_pressurization	wapwanoxaka_xAbana#wapwanoxaka_xAbana#noun#3#RM
heating_plate	wApana_pleta/hItiMga_pleta#wApana_pleta/hItiMga_pleta#noun#2#RM
heaviside_layer	hEvisAida_swara#hEvisAida_swara#noun#2#RM
heavy_coupling	xIrGa_yugmana#xIrGa_yugmana#noun#2#RM
height_indicator	wuMgawA_sUcaka/UMcAI_sUcaka#wuMgawA_sUcaka/UMcAI_sUcaka#noun#2#RM
helical_antenna	kuMdalinI_EntenA#kuMdalinI_EntenA#noun#2#RM
helical_filter	kuMdalinI_PZiltara#kuMdalinI_PZiltara#noun#2#RM
helical_scanner	kuMdalinI_kramavIkRaka#kuMdalinI_kramavIkRaka#noun#2#RM
helical_winding	kuMdalAkAra_Avalana#kuMdalAkAra_Avalana#noun#2#RM
heliocentric_coordinates	sUryakeMxrI_nirxeSAMka#sUryakeMxrI_nirxeSAMka#noun#2#RM
heliocentric_distance	sUryakeMxrI_xUrI#sUryakeMxrI_xUrI#noun#2#RM
heliocentric_frame	sUryakeMxrI_waMwra/sUryakeMxrI_prAXAra/sUryakeMxrI_DAMcA#sUryakeMxrI_waMwra/sUryakeMxrI_prAXAra/sUryakeMxrI_DAMcA#noun#2#RM
heliocentric_velocity	sUryakeMxrI_vega#sUryakeMxrI_vega#noun#2#RM
