usa_jagaha	vahAz/usa_jagaha
wawapaScAwa	wawapaScAwa/waxanaMwara/waxauparAMwa/waxoparAMwa/waxaMwara/waxananwara/waxuparAMwa/waxuparAnwa/waxoparAMwa/waxoparAnwa/waxanwara
hAWa_se	hAWa_se/hAWa_xvArA/haswacAliwa_DaMga_se/haswacAlana_xvArA
ekAeka	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
waxuparAMwa	wawapaScAwa/waxanaMwara/waxauparAMwa/waxoparAMwa/waxaMwara/waxananwara/waxuparAMwa/waxuparAnwa/waxoparAMwa/waxoparAnwa/waxanwara
ajahUz	aba_waka/aBI_waka/Aja_waka/abawaka/aBIwaka/Ajawaka/ajahuz/ajahUz/ajo/ajOM/abalaga
sawyawaH	vAkaI/vAkZaI/vAswava_meM/hakIkawana/hakZIkZawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
bahuwa	bahuwa/KZUba/KUba/badZA/jyAxA/jZyAxA/aXika/kAPZI/kAPI/kadZA/jamakara/datakara
wiryaka	wiraCA/wiryaka/AdZA/teDZA/bAzkA/wirapata
aMwawaH	aMwawaH/aMwawogawvA/aMwa_meM/AKira/AKZira/AKZirakAra/AKirakAra/howe_havAwe
mahA	awyaMwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKZwa/saKwa/jamakara/mahA/nihAyawa/cUdZAMwa/cUdZAnwa/aByaXika/Agara
asaMSaya	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
bAez	bAez/bAez_bAjZU/bAyeM
anukUla	anusAra/mAPika/muwAbika/anukUla/muAPZikZa/muAPika/muwAbikZa/aprawIRa
aXunA	aBI/PZilahAla/PilahAla/isa_samaya/aba/aWa/aXunA/saMprawi/samprawi/aBU/aBE
aXInawA_meM	parAXInawaH/aXInawA_meM/paravaSawaH
prawivarRa	harasAla/prawivarRa/xarasAla/anuvawsara
marNowwara	marNowwara
nimnawaH	nIce/aXaH/nimnawaH/aXo_xiSA_meM
kZiswa_xara_kZiswa	kZiswavAra/kiswavAra/kZiswa_xara_kZiswa/kZiswoM_meM
jalxI	jalxI/SIGra/SIGrawaH/avilaMbawaH/jalxa/acira/wUrNa/SiwAba/begi/avalaMbiwa/avalambiwa/jalxI_se/ASu/avilaMbiwa/avilambiwa/jalxI/savere/sabere
uparAnwa	bAxa/bAxa_meM/paScAw/uparAMwa/anaMwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa
kaBI_na_kaBI	xera-savera/kaBI_na_kaBI
havA_kI_waraPa	havA_ke_anukUla/havAnukUla/havA_kI_ora/havA_kI_waraPa
jalxa	jalxI/SIGra/SIGrawaH/avilaMbawaH/jalxa/acira/wUrNa/SiwAba/begi/avalaMbiwa/avalambiwa/jalxI_se/ASu/avilaMbiwa/avilambiwa
niruxxeSyawaH	uxxeSyahInawaH/niruxxeSya/niruxxeSyawaH
binA_Saka	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
vakwan-POvakwan	kaBIkaBI/kaBIkaBAra/yaxAkaxA/kaBI-kaBI/kaBI-kaBAra/yaxA-kaxA/vakwan-POvakwan
waxoparAnwa	wawapaScAwa/waxanaMwara/waxauparAMwa/waxoparAMwa/waxaMwara/waxananwara/waxuparAMwa/waxuparAnwa/waxoparAMwa/waxoparAnwa/waxanwara
kahe_muwAbika	kaWanAnusAra/kahanAnusAra/kahe_muwAbika/kahe_muwAbikZa/kahe_anusAra
Age	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA/Age/agrawaH/BaviRya_meM/Age/BaviRya_kAla_meM/agawyA/pare/Age/bAxa/aba/Age/AinxA/AiMxA/AyaMxA/AyanxA
ekaxama	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAMwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/saMpUrNawaH/saMpUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
KZuxa	svayaM/svawaH/Kuxa/KZuxa/Apa/ApahI/apaneApa/KZuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
Cama-Cama	CamaCama/Cama-Cama
isI_jagaha	yahIM/isI_jagaha/ihavEM
vyarWa_hI	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhakZa/nAhaka/PZajZUla/PajUla/PZijZUla/PijUla/anahaka/anAhaka
viSvAsa_ke_sAWa	viSvAsa_ke_sAWa/viSvasanIyawA_se/viSvAsapUrvaka
KacAKaca	TasATasa/TuzsATuzsa/KacAKaca/TusATusa
AmUla	AmUla
nirnimiRa	apalaka/nirnimeRa/nirnimiRa/nirnimeKa
utakkara	aMXAXuMXa/bewahASA/anXAXunXa/aMXaXuMXa/anXaXunXa/utakkara
gahare	gahare/gaharAI_meM
jyoM_kA_wyoM	jyoM_kA_wyoM/jEse_kA_wEse
sAkRAwa	svayaM/svawaH/Kuxa/KZuxa/Apa/ApahI/apaneApa/KZuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
wawkRaNa	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
uxvignawaH	ciMwiwawaH/uxvignawaH/uxvignawApUrvaka
xina_rAwa	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
kyUzkara	kyoMkara/kyUzkara/kEse
pICe	pICe/paScawaH/pACe/pqRTawaH/arvAka/bAxa/bAxa_meM/paScAw/uparAMwa/anaMwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa/awIwa_meM/pahale/BUwa_meM/BUwa_kAla_meM/pICe/piCale_xinoM_meM
samewa	sahiwa/samewa
bevajaha	akAraNa/prayojanahInawaH/Ese_hI/yUz_hI/kAraNahInawaH/bevajaha/uxxeSyahInawaH
pUrvavaw	pUrvavaw/pUrvavawa
paravaSawaH	parAXInawaH/aXInawA_meM/paravaSawaH
lihAjZA	isalie/isIlie/awaeva/awaH/lihAjA/lihAjZA
xaraasala	vAkaI/vAkZaI/vAswava_meM/hakIkawana/hakZIkZawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
kalyANArWa	hiwArWa/kalyANArWa
wulanA_meM	apekRAkqwa/wulanA_meM/apekRayA/mukZAbale/mukAbale/banisbawa/se
spaRtawaH	spaRta/spaRtawaH/Kula_kara/Kule_wOra_para/Kullama_KullA/binA_lAga_lapeta_ke/sAPZa_sAPZa/spaRtawayA/sAPZa-sAPZa/sAPa-sAPa
awarasoM	narasoM/awarasoM/warasoM/narasoM/awarasoM/warasoM
ukavAz	aMxAjana/aMxAjZana/anxAjZana/anxAjana/lagaBaga/wakZarIbana/wakarIbana/kZarIba/karIba/karIbakarIba/karIbana/kZarIbakZarIba/kZarIbana/anumAnawaH/anakZarIba/anakarIba/waKZamInana/aMxAja_se/ukavAz
saKwa	awyaMwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKZwa/saKwa/jamakara/mahA/nihAyawa/cUdZAMwa/cUdZAnwa/aByaXika/Agara
AcAna	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
pariNAma_svarUpa	PalasvarUpa/pariNAma_svarUpa/pariNAmasvarUpa/pariNAmawaH/PalawaH/nawIjawana
sare-Ama	KuleAma/Kulakara/sareAma/sare-Ama/Kule-Ama/Kullama-KullA/KullamaKullA/daMke_kI_cota_para/sare_Ama/agupwawaH
silasilevAra	kramaSaH/kramAnusAra/yaWAkrama/silasilevAra/bArI-bArI_se/kramavAra/warawIbavAra/ayugapaxa/alpaSaH
galawa_samaya_para	asamaya/bevakZwa/bevakwa/gZalawa_samaya_para/galawa_samaya_para/bemOke
UrXva	Upara/UzcAI_para/UrxXva/UrXva
waba_waka	waba_waka
begi	jalxI/SIGra/SIGrawaH/avilaMbawaH/jalxa/acira/wUrNa/SiwAba/begi/avalaMbiwa/avalambiwa/jalxI_se/ASu/avilaMbiwa/avilambiwa
KAlI	akelA/akele/kevala/sirPZa/mAwra/KAlI/KZAlI/basa/nipata/mahajZa/sirPa/wanhA/wanahA/ekAkI/ekameva/ekaMga/ikelA
lihAjA	isalie/isIlie/awaeva/awaH/lihAjA/lihAjZA
ekabAragI	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
XIre-XIre	XIre-XIre/XIre_XIre/Ahiswe-Ahiswe/AhiswA-AhiswA/hOle-hOle/hole-hole/raPwA-raPwA/alpaSaH
siwAbI	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
TaMDe-TaMDe	TaMde-TaMde/TaMde_TaMde/TaMDe-TaMDe/TaMDe_TaMDe
yaWAsWAna	yaWAsWAna
PZajUla	vyarWa/PZajUla/PijUla/PZijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
asaByawaH	asaByawaH/aSiRtawaH/SiRtAcArahInawaH
prayojanawaH	prayojanawaH/kAma_se/kAraNa_se/saprayojana
kaxama-ba_kaxama	pICe-pICe/anupaxa/kaxama-ba_kaxama
PZIsaxI	prawiSawa/PZIsaxI/PIsaxI/paraseMta
se	apekRAkqwa/wulanA_meM/apekRayA/mukZAbale/mukAbale/banisbawa/se
paScawaH	pICe/paScawaH/pACe/pqRTawaH/arvAka
wakZarIbana	aMxAjana/aMxAjZana/anxAjZana/anxAjana/lagaBaga/wakZarIbana/wakarIbana/kZarIba/karIba/karIbakarIba/karIbana/kZarIbakZarIba/kZarIbana/anumAnawaH/anakZarIba/anakarIba/waKZamInana/aMxAja_se/ukavAz
pAzcagunA	pAzcagunA/pacagunA
sAvaXAnIpUrvaka	sAvaXAnIpUrvaka/XyAnapUrvaka/XyAna_se/sAvaXAnI_se/sAvaXAnawaH/samBAlakara/saMBAlakara
anAhaka	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhakZa/nAhaka/PZajZUla/PajUla/PZijZUla/PijUla/anahaka/anAhaka
kEse	kEse/kisa_prakAra_se/kyoMkara/kyUzkara/kEse
barbarawApUrvaka	nirxayawApUrvaka/nirxayawA_se/berahamI_se/bexarxI_se/krUrawApUrvaka/barbarawApUrvaka/kaTorawA_se/kadZAI_se
iwwiPAkana	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka/saMyogavaSa/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/saMyogavaSAw
ArapAra	Ara-pAra/ArapAra
ukadU	ukadZUz/ukadZU/ukadUz/ukadU/ukurU
jaba_waka	jaba_waka
AdZA	wiraCA/wiryaka/AdZA/teDZA/bAzkA/wirapata
majabUrana	majabUrana/vivaSawaH/anacAhe/majZabUrana/vivaSa_hokara/cAranAcAra/aMwawogawvA/barabasa
ahora-bahora	bAra-bAra/bAra_bAra/bAraMbAra/bArambAra/asakqwa/ahora-bahora
adZosa-padZosa	Asa-pAsa/AsapAsa/agala-bagala/agZala-bagZala/AjU-bAjU/irxa-girxa/adZosa-padZosa/pAsa-padZosa/pAsa_padZosa
nAhakZa	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhakZa/nAhaka/PZajZUla/PajUla/PZijZUla/PijUla/anahaka/anAhaka
barAe_meharabAnI	xayApUrvaka/kqpA_kara_ke/kqpApUrvaka/xayA_se/barAe_meharabAnI
ultA-pultA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
jiMxagIBara	mqwyuparyanwa/AjIvana/wAumra/umraBara/jZiMxagIBara/jiMxagIBara/jIvanaBara/AmaraNa/aMwima_xama_waka
aBI_BI	aBI_BI
avilaMbawaH	jalxI/SIGra/SIGrawaH/avilaMbawaH/jalxa/acira/wUrNa/SiwAba/begi/avalaMbiwa/avalambiwa/jalxI_se/ASu/avilaMbiwa/avilambiwa
Cina-Cina	prawikRaNa/pala_pala/pala-pala/prawipala/hara_kRaNa/kRaNa-kRaNa/haraGadZI/hara_GadZI/prawi_kRaNa/kRaNakRaNa/anukRaNa/CinaCina/Cina-Cina/AKana
isabAra	aba/abakI/isabAra/aba_kI/isa_bAra
nisaMkoca	nisaMkoca/niHsaMkoca/nissaMkoca/beXadZaka/saMkocahInawaH/beJiJaka/beKataka/beKatake/behicaka
sarAsara	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAMwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/saMpUrNawaH/saMpUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
uwwara	bAxa/bAxa_meM/paScAw/uparAMwa/anaMwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa
jZabaraxaswI	balapUrvaka/barabasa/jZabaraxaswI/jabaraxaswI/jZabarana/jabarana/barajZorI
xUra	xUra/xUrI_para/alaga/pare/xarakinAra/xUra/alaga/eka_waraPZa/eka_ora/alahaxA
PZilahAla	PilahAla/PZilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/saMprawi/aBI/PZilahAla/PilahAla/isa_samaya/aba/aWa/aXunA/saMprawi/samprawi/aBU/aBE
bepanAha	awyaMwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKZwa/saKwa/jamakara/mahA/nihAyawa/cUdZAMwa/cUdZAnwa/aByaXika/Agara
xveRahInawaH	IrRyAhInawaH/anasUyawaH/xveRahInawaH
takatakI_se	takatakI_se/ekataka/tukura_tukura/taka-taka/animeRa/animiRa/animiKa/anamiKa/ikataka
anyAsa	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
acCI_waraha_se	acCI_waraha/acCI_waraha_se/acCI_waraha/acCI_waraha_se/acCA/baDZiyA/acCI_waraha/acCI_waraha_se/tanAtana/TIka/TIka_se/acCI_waraha/acCI_waraha_se/acCI_waraha/acCI_waraha_se
mOna	cupacApa/cupa/mOna/SAMwa/SAnwa/KZAmoSI_se/KAmoSI_se/niSSabxa/avAka/avAk/bina_bole/mOnawaH
aTagunA	ATagunA/aTagunA
kramAnusAra	kramaSaH/kramAnusAra/yaWAkrama/silasilevAra/bArI-bArI_se/kramavAra/warawIbavAra/ayugapaxa/alpaSaH
harasAla	harasAla/prawivarRa/xarasAla/anuvawsara
sAsUya	IrRyApUrvaka/IrRyawaH/xveRapUrvaka/sAsUya/IrRyApUrNawaH
nissaMxeha	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
Kela_Kela_meM	AsAnI_se/sahajawA_se/saralawA_se/Kela_Kela_meM/sahajawaH/anEse
prayawnawaH	prayawnapUrvaka/sAyAsa/prayawnawaH/prayawna_se
bAijjawa	bAijjawa/bAijZjZawa/sasammAna
KZAsakara	viSeRakara/KZAsakara/KZAsa_wOra_para/KZAsa_wOra_se/KZAsawOra_para/KZAsawOra_se/KAsawOra_para/KAsawOra_se/KAsakara/viSeRawaH/viSiRtawaH/muKyawaH/viSeRa_rUpa_se
jora_se	kasakara/joraxAra/weja/wejZa/wIvra/wejZI_se/jZora_se/wejI_se/jora_se/wIvrawA_se
naMge_pEra	naMge_pEra
vyavasWApUrvaka	warIkZe_se/warIke_se/warawIba_se/kZarIne_se/karIne_se/vyavasWApUrvaka/vyavasWiwawaH/kZarInAvAra/karInAvAra
vyavasWiwawaH	warIkZe_se/warIke_se/warawIba_se/kZarIne_se/karIne_se/vyavasWApUrvaka/vyavasWiwawaH/kZarInAvAra/karInAvAra
soca_vicAra_kara	soca-vicArakara/samaJa-bUJakara/vicArapUrvaka/soca-samaJakara/soca_vicAra_kara/samaJa_bUJa_kara/soca_samaJa_kara/vicAriwawaH
anekaXA	prAyaH/akasara/aksara/aXikawara/aXikAMSawaH/jyAxAwara/bahuXA/AmawOra_para/AmawOra_se/aXikAMSawayA/prAyaSaH/anekaXA
Apa	svayaM/svawaH/Kuxa/KZuxa/Apa/ApahI/apaneApa/KZuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
akaMtaka	nirbAXa/bAXArahiwa/akaMtaka
abakI	aba/abakI/isabAra/aba_kI/isa_bAra
TaMde-TaMde	TaMde-TaMde/TaMde_TaMde/TaMDe-TaMDe/TaMDe_TaMDe
PajUla	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhakZa/nAhaka/PZajZUla/PajUla/PZijZUla/PijUla/anahaka/anAhaka
WaraWara	Wara-Wara/WaraWara
svaBAvawaH	svaBAvawaH/Axawana
dIMga_mArawe_hue	SeKI_mArawe_hue/dIMga_mArawe_hue
PijUla	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhakZa/nAhaka/PZajZUla/PajUla/PZijZUla/PijUla/anahaka/anAhaka/vyarWa/PZajUla/PijUla/PZijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
hAjira	peSa/hAjZira/hAjira
haraxina	prawixina/haraxina/niwya/hararojZa/rojZa/niwa/roja/rojZAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
vivaSa_hokara	majabUrana/vivaSawaH/anacAhe/majZabUrana/vivaSa_hokara/cAranAcAra/aMwawogawvA/barabasa
kyoMkara	kyoMkara/kyUzkara/kEse
jZoroM_se	jZora-Sora_se/jora-Sora_se/jZoraSora_se/joraSora_se/jZoroM_se/joroM_se
iwwaPAkana	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka/saMyogavaSa/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/saMyogavaSAw
spaRtawayA	spaRta/spaRtawaH/Kula_kara/Kule_wOra_para/Kullama_KullA/binA_lAga_lapeta_ke/sAPZa_sAPZa/spaRtawayA/sAPZa-sAPZa/sAPa-sAPa
Binasahare	BinasAre/Binasahare
XUAzXAra	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
anusAra	anusAra/mAPika/muwAbika/anukUla/muAPZikZa/muAPika/muwAbikZa/aprawIRa
barabasa	majabUrana/vivaSawaH/anacAhe/majZabUrana/vivaSa_hokara/cAranAcAra/aMwawogawvA/barabasa/balapUrvaka/barabasa/jZabaraxaswI/jabaraxaswI/jZabarana/jabarana/barajZorI
xayA_se	xayApUrvaka/kqpA_kara_ke/kqpApUrvaka/xayA_se/barAe_meharabAnI
alam	basa/alam/alaM/paryApwa/kAPI/kAPZI/yaWeRta/alam/alaM
sAmUhika_rUpa_se	samUhawaH/sAmUhika_rUpa_se
anavaXi	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
baje	baje
alaM	basa/alam/alaM/paryApwa/kAPI/kAPZI/yaWeRta/alam/alaM
majZabUwI_se	xqDZawApUrvaka/majabUwI_se/majZabUwI_se
asakqwa	bAra-bAra/bAra_bAra/bAraMbAra/bArambAra/asakqwa/ahora-bahora
AmawOra_se	prAyaH/akasara/aksara/aXikawara/aXikAMSawaH/jyAxAwara/bahuXA/AmawOra_para/AmawOra_se/aXikAMSawayA/prAyaSaH/anekaXA
ekajuta	ekajuta
muwwasila	pAsa_meM/najZaxIka/najaxIka/nikata_meM/kZarIba_meM/samIpa/nikata/pAsa/kZarIba/karIba/sannikata/najIka/muwwasila/arvAka/avixUra/Are/AsapAsa/Asa-pAsa/lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
ulatA_pulatA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
iXara-uXara	iXara-uXara/jahAz-wahAz/yahAz-vahAz/iwauwa/iwaswawaH
bIcoM_bIca	bIcobIca/bIcoMbIca/bIcoM-bIca/bIcama_bIca/bIcoM_bIca
ina_xinoM	PilahAla/PZilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/saMprawi
xqDZawApUrvaka	saMkalpapUrvaka/irAxawana/irAxe_se/xqDZawApUrvaka/niScayapUrvaka/xqDZawApUrvaka/majabUwI_se/majZabUwI_se
sakuSala	sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKZEra/baKEra/baKZErIya/baKErIyawa/surakRiwawaH
eka_eka_daga	kZaxama_ba_kZaxama/eka_eka_daga/paxa_prawi_paxa
isa_waraha	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
kZaxama_ba_kZaxama	kZaxama_ba_kZaxama/eka_eka_daga/paxa_prawi_paxa
abawaka	aba_waka/aBI_waka/Aja_waka/abawaka/aBIwaka/Ajawaka/ajahuz/ajahUz/ajo/ajOM/abalaga
Kule_wOra_para	spaRta/spaRtawaH/Kula_kara/Kule_wOra_para/Kullama_KullA/binA_lAga_lapeta_ke/sAPZa_sAPZa/spaRtawayA/sAPZa-sAPZa/sAPa-sAPa
mukAbale	apekRAkqwa/wulanA_meM/apekRayA/mukZAbale/mukAbale/banisbawa/se
iwe	iwanA/iwA/iweka/iwe
nisaMxeha	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
iwa	iXara/isa_ora/yahAz_para/iwaH/iwa/iwE/iwWe/yahAz/isa_jagaha/iwaH/iwa/iha/ihAz/ihavAz/IMGe/IhAz
Anana-PAnana_meM	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
ApahI	svayaM/svawaH/Kuxa/KZuxa/Apa/ApahI/apaneApa/KZuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
