usa_jagaha	vahAz/usa_jagaha
niwAnwa	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAMwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/saMpUrNawaH/saMpUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
sABAra	sABAra/kqwajFawApUrvaka
yaWeRta	paryApwa/kAPI/kAPZI/yaWeRta/alam/alaM
bAraMbAra	bAra-bAra/bAra_bAra/bAraMbAra/bArambAra/asakqwa/ahora-bahora
PUta-PUtakara	PUta-PUtakara/PUtaPUta_kara
savere	sabere/savere/subaha/wadZake/subaha-subaha/subaha_savere/jalxI/savere/sabere
yaWAvAMCiwa	icCAnusAra/icCAnukula/yaWecCa/yaWABIRta/yaWAvAMCiwa
akelA	akelA/akele/kevala/sirPZa/mAwra/KAlI/KZAlI/basa/nipata/mahajZa/sirPa/wanhA/wanahA/ekAkI/ekameva/ekaMga/ikelA
kZarIbana	aMxAjana/aMxAjZana/anxAjZana/anxAjana/lagaBaga/wakZarIbana/wakarIbana/kZarIba/karIba/karIbakarIba/karIbana/kZarIbakZarIba/kZarIbana/anumAnawaH/anakZarIba/anakarIba/waKZamInana/aMxAja_se/ukavAz
iXara	iXara/isa_ora/yahAz_para/iwaH/iwa/iwE/iwWe
bA-jAbwA	niyamAnusAra/yaWAniyama/bA-jAbwA
kAlha	kala/kAlha
mara-marakara	awyaXika_prayawnapUrvaka/mara-marakara
cAroM_waraPZa	cAroM_ora/cAroM_waraPZa/cAroM_waraPa/cahuz_ora/sarvawra/saBI_waraPZa/cAroM_xiSAoM_meM/hara_jagaha/irxa-girxa
baga-mela	bagamela/baga-mela
pravAha_kI_xiSA_meM	pravAha_kI_xiSA_meM/pravAha_kI_ora
samaya-samaya_para	samaya-samaya_para/bIca-bIca_meM
akele	akelA/akele/kevala/sirPZa/mAwra/KAlI/KZAlI/basa/nipata/mahajZa/sirPa/wanhA/wanahA/ekAkI/ekameva/ekaMga/ikelA
jZiMxagIBara	mqwyuparyanwa/AjIvana/wAumra/umraBara/jZiMxagIBara/jiMxagIBara/jIvanaBara/AmaraNa/aMwima_xama_waka
sAWa_hI	sAWa-sAWa/sAWa_hI/sAWa_hI_sAWa/sAWa/eka_sAWa/ikatTA/ikajora/ekawra/ikawra
xviguNiwa	xugunA/xUnA/xogunA/xuganA/xviguNa/xviguNiwa
XyAnapUrvaka	sAvaXAnIpUrvaka/XyAnapUrvaka/XyAna_se/sAvaXAnI_se/sAvaXAnawaH/samBAlakara/saMBAlakara
viSvasanIyawA_se	viSvAsa_ke_sAWa/viSvasanIyawA_se/viSvAsapUrvaka
yOM_hI	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhakZa/nAhaka/PZajZUla/PajUla/PZijZUla/PijUla/anahaka/anAhaka
xina-xina	xina-prawixina/xina-xina/xina-para-xina/xina-baxina/xina-ba_xina/xinaprawixina/xinaxina/xinabaxina/xinoM-xina/xinoMxina
mOnawaH	cupacApa/cupa/mOna/SAMwa/SAnwa/KZAmoSI_se/KAmoSI_se/niSSabxa/avAka/avAk/bina_bole/mOnawaH
aviSrAMwa	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
BaviRya_meM	BaviRya_meM/Age/BaviRya_kAla_meM/agawyA
ukadUz	ukadZUz/ukadZU/ukadUz/ukadU/ukurU
kuSalapUrvaka	sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKZEra/baKEra/baKZErIya/baKErIyawa/surakRiwawaH
warawIba_se	warIkZe_se/warIke_se/warawIba_se/kZarIne_se/karIne_se/vyavasWApUrvaka/vyavasWiwawaH/kZarInAvAra/karInAvAra
kula_milAkara	kula_milAkara/saba_milAkara
aMwima_xama_waka	mqwyuparyanwa/AjIvana/wAumra/umraBara/jZiMxagIBara/jiMxagIBara/jIvanaBara/AmaraNa/aMwima_xama_waka
jaba	jaba/yaxA/yaxi/agara/jaba
Bara_meM	Bara_meM
ima	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
imi	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
saKZwa	awyaMwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKZwa/saKwa/jamakara/mahA/nihAyawa/cUdZAMwa/cUdZAnwa/aByaXika/Agara
jZora-Sora_se	jZora-Sora_se/jora-Sora_se/jZoraSora_se/joraSora_se/jZoroM_se/joroM_se
anwarjAnu	aMwarjAnu/anwarjAnu
umUmana	sAmAnyawaH/sAmAnyawayA/sAXAraNawaH/sAXAraNawayA/amUmana/umUmana
hameSA	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
viSeRawaH	viSeRakara/KZAsakara/KZAsa_wOra_para/KZAsa_wOra_se/KZAsawOra_para/KZAsawOra_se/KAsawOra_para/KAsawOra_se/KAsakara/viSeRawaH/viSiRtawaH/muKyawaH/viSeRa_rUpa_se
AraMBawaH	AraMBa_meM/AraMBawaH/AramBawaH/pahale/SurU_meM/praWama/Axi_meM/praWamawaH/sarvapraWama/pUrva/SuruAwa_meM/SuruvAwa_meM/AramBa_meM/prAramBa_meM
IsavI_pUrva	IsApUrva/IsA_pUrva/IsavI_pUrva
kiMkarwwavyavimUDZa	hakkA-bakkA/BOMcakkA/kiMkarwavya-vimUDZa/kiMkarwwavya-vimUDZa/kiMkarwavyavimUDZa/kiMkarwwavyavimUDZa/hawabuxXi
anxara	aMxara/anxara/BIwara/aMxara/anxara/BIwara
ihavEM	yahIM/isI_jagaha/ihavEM
Ocaka	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka/acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
yaWecCa	icCAnusAra/icCAnukula/yaWecCa/yaWABIRta/yaWAvAMCiwa
niyamiwawaH	niyamiwawaH/niyama_se/niyamAnusAra/baxaswUra
kusamaya	kusamaya/gZalawa_vakZwa_para/asamaya/bevakZwa/galawa_vakwa_para/bevakwa/bemOke
PurwI_se	sPUrwipUrvaka/cuswI_se/PurwI_se/muswExI_se
upAyawaH	yukwipUrvaka/upAyawaH/upAya_se/jugawa_lagAkara/warakIba_se/warIkZe_se
iwWaM	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
avirAmawaH	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
bIca-bIca_meM	samaya-samaya_para/bIca-bIca_meM
jIvanaparyanwa	Ajanma/jIvanaparyanwa/jIvanaBara
ATagunA	ATagunA/aTagunA
icCA_se	svecCApUrvaka/icCA_se/KZuSI_KZuSI/KZuSI_se/svecCayA/svecCawaH
cahuz_ora	cAroM_ora/cAroM_waraPZa/cAroM_waraPa/cahuz_ora/sarvawra/saBI_waraPZa/cAroM_xiSAoM_meM/hara_jagaha/irxa-girxa
bAkZAyaxA	viXipUrvaka/kZAyaxe_se/DaMga_se/warIkZe_se/bawOra/bAkZAyaxA/viXivaw/viXivawa
PalasvarUpa	PalasvarUpa/pariNAma_svarUpa/pariNAmasvarUpa/pariNAmawaH/PalawaH/nawIjawana
niyamAnusAra	niyamiwawaH/niyama_se/niyamAnusAra/baxaswUra/niyamAnusAra/yaWAniyama/bA-jAbwA
sABiprAyaH	uxxeSyapUrvaka/uxxeSyawaH/sABiprAyaH/soxxeSya
saMxigXawaH	aspaRtawaH/saMxigXawaH
wAbadZawodZa	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
wIvra	kasakara/joraxAra/weja/wejZa/wIvra/wejZI_se/jZora_se/wejI_se/jora_se/wIvrawA_se
yukwipUrvaka	yukwipUrvaka/upAyawaH/upAya_se/jugawa_lagAkara/warakIba_se/warIkZe_se
aBI-aBI	aBI-aBI/aBI_aBI/aBI_hI/isI_vakwa/isI_kRaNa
Aswe	XIre/XIme/hOle/Ahiswe/AhiswA/Ahiswe_se/AhiswA_se/Asawe/Aswe
jZora_se	kasakara/joraxAra/weja/wejZa/wIvra/wejZI_se/jZora_se/wejI_se/jora_se/wIvrawA_se
avaSyameva	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
isE	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
navagunA	nOgunA/navagunA
BalI_BAzwi	BalI-BAzwi/BalI_BAzwi/BarapUra/BalIBAzwi/BalI-BAMwi/BalI_BAMwi/BalIBAMwi/sarvawoBAva/acCI_waraha
bAez_bAjZU	bAez/bAez_bAjZU/bAyeM
akramawaH	kramahInawaH/akramawaH/avyavasWiwawaH/jahAz_wahAz
bilAnAgA	bilAnAgA
avixUra	pAsa_meM/najZaxIka/najaxIka/nikata_meM/kZarIba_meM/samIpa/nikata/pAsa/kZarIba/karIba/sannikata/najIka/muwwasila/arvAka/avixUra/Are/AsapAsa/Asa-pAsa
haragijZa	kaxApi/haragijZa/kawaI/kawwaI
nirnimeKa	apalaka/nirnimeRa/nirnimiRa/nirnimeKa
saralawA_se	AsAnI_se/sahajawA_se/saralawA_se/Kela_Kela_meM/sahajawaH/anEse
alabawwA	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
rojAnA	prawixina/haraxina/niwya/hararojZa/rojZa/niwa/roja/rojZAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
paraMparAnusAra	paraMparAnusAra/baxaswUra
niHsaMkoca	nisaMkoca/niHsaMkoca/nissaMkoca/beXadZaka/saMkocahInawaH/beJiJaka/beKataka/beKatake/behicaka
uxAharaNArWa	uxAharaNArWa/uxAharaNawaH/uxAharaNa_svarUpa/masalana
agre	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA
jEse_BI_ho	jEse_ho/jEse_BI_ho
iwane_meM	iwane_meM/isa_bIca/isI_bIca/isa_xOrAna/isa_xaramyAna
pExala	pExala
kqpA_karake	kqpayA/kqpApUrvaka/kqpA_pUrvaka/kqpA_karake/meharabAnI_karake
muKyawaH	viSeRakara/KZAsakara/KZAsa_wOra_para/KZAsa_wOra_se/KZAsawOra_para/KZAsawOra_se/KAsawOra_para/KAsawOra_se/KAsakara/viSeRawaH/viSiRtawaH/muKyawaH/viSeRa_rUpa_se
acCA	TIka-TAka/TIkaTAka/TIka/acCA/baDZiyA/acCA/baDZiyA/acCI_waraha/acCI_waraha_se/tanAtana
webArA	wibArA/webArA
kaBI	kaBI/kisI_samaya
irAxawana	saMkalpapUrvaka/irAxawana/irAxe_se/xqDZawApUrvaka/niScayapUrvaka/jAna-bUJakara/jAnabUJakara/jAnabUJa_kara/amaxana/icCApUrvaka/mawipUrva/irAxawana
rawwiBara	jarA/jZarA/jarA-sA/jZarA-sA/rawwiBara/WodZA/WodZA-sA/WodZA_sA/wanika/yawkiMciw
majabUwI_se	xqDZawApUrvaka/majabUwI_se/majZabUwI_se
mawipUrva	jAna-bUJakara/jAnabUJakara/jAnabUJa_kara/amaxana/icCApUrvaka/mawipUrva/irAxawana
nirxayawA_se	nirxayawApUrvaka/nirxayawA_se/berahamI_se/bexarxI_se/krUrawApUrvaka/barbarawApUrvaka/kaTorawA_se/kadZAI_se
pacagunA	pAzcagunA/pacagunA
hOle	XIre/XIme/hOle/Ahiswe/AhiswA/Ahiswe_se/AhiswA_se/Asawe/Aswe
apekRayA	apekRAkqwa/wulanA_meM/apekRayA/mukZAbale/mukAbale/banisbawa/se
vicArapUrvaka	soca-vicArakara/samaJa-bUJakara/vicArapUrvaka/soca-samaJakara/soca_vicAra_kara/samaJa_bUJa_kara/soca_samaJa_kara/vicAriwawaH
nAKZuSI_se	aprasannawApUrvaka/nArAjZagIpUrvaka/nAKZuSI_se/nArAjagIpUrvaka/nAKuSI_se
AsO	aso/asoM/AsO/isa_varRa/isa_sAla
saMpUrNawaH	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAMwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/saMpUrNawaH/saMpUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
kaba_waka	kaba_waka/kaba
pAsa-padZosa	Asa-pAsa/AsapAsa/agala-bagala/agZala-bagZala/AjU-bAjU/irxa-girxa/adZosa-padZosa/pAsa-padZosa/pAsa_padZosa
svawaMwra_rUpa_se	svAXInawaH/svawaMwra_rUpa_se
havA_kI_ora	havA_ke_anukUla/havAnukUla/havA_kI_ora/havA_kI_waraPa
xina-ba_xina	xina-prawixina/xina-xina/xina-para-xina/xina-baxina/xina-ba_xina/xinaprawixina/xinaxina/xinabaxina/xinoM-xina/xinoMxina
ciMwAhInawaH	niSciMwawaH/ciMwAhInawaH/beKatake
Jatake_ke_sAWa	Jatake_se/Jatake_ke_sAWa
tukura_tukura	takatakI_se/ekataka/tukura_tukura/taka-taka/animeRa/animiRa/animiKa/anamiKa/ikataka
havAnukUla	havA_ke_anukUla/havAnukUla/havA_kI_ora/havA_kI_waraPa
anuxivasa	prawixina/haraxina/niwya/hararojZa/rojZa/niwa/roja/rojZAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
vinayapUrvaka	namrawApUrvaka/vinayapUrvaka
