##Added by Roja (04-05-12)
##Updated by Manju (04-05-13)
##Physics Compound Dictionary .d
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word   Hindi_word_in_wx
##############################################################################
#dimension_noun	vima
absorbed_adjective	avaSoRiwa
brittle_noun	BaMgura
bubble_noun	bulabulA
buoyancy_noun	uwplAvana/uwplAvakawA
calibrated_adjective	aMSAMkiwa
calorimeter_noun	uQRmAmApI/kElorImItara/uPaRmAmApI/vEPalorImItara
calorimeter_UNDEFINED	URmAmApI
calorimetry_UNDEFINED	URmAmiwi
cancel_verb	niraswa
candela_UNDEFINED	kEMdelA
capacitance_noun	XAriwA
capacitance_UNDEFINED	XAriwA
capacitive_UNDEFINED	sanXAriwrIya/praXAna
capillary_noun	keSikA
carl_UNDEFINED	kArla
cartesian_UNDEFINED	kArwIya
cavendish_UNDEFINED	kEvendiSa
centimetre_adjective	sentImItara
centripetal_adjective	keMxrABimuKI/veMPaxrABimuKI
centripetal_force	aBikeMxrIya_bala
centripetal_UNDEFINED	aBikeMxra
centroid_noun	keMxraka/veMPaxraka
centroid_UNDEFINED	kenxraka
cesium_UNDEFINED	sIjiyama
channel_noun	saraNi
charge_noun	AveSa
charge_verb	AveSiwa_kara
chemistry_noun	rasAyana_vijFAna
chloride_UNDEFINED	klorAida
chlorofluorocarbon_UNDEFINED	kloroPloro-kArbana
ciliary_UNDEFINED	pakRmABI
circuit_noun	paripaWa
cliff_noun	cattAna
clockwise_adjective	xakRiNAvarwa
coated_UNDEFINED	lepa/lepana
coating_UNDEFINED	vilepana
coercivity_UNDEFINED	nigrAhiwA
co-existence_noun	saha-aswiwva
coincide_noun	saMpAwI
coincide_verb	saMpAwI
collimate_UNDEFINED	puFja
collimate_verb	saMreKiwa_kara
collinear_UNDEFINED	saMreKa/saMreKiwa
collision_noun	saMGat/tatakkara/saMGarRa/takkara
communication_noun	saMpreRaNa/saMcAra
commutative_UNDEFINED	kramavinimeya/kramaviniyama
commutator_UNDEFINED	xikparivarwaka
composite_noun	miSriwa
compressibility_UNDEFINED	saMpIdyawA
compressible_adjective	saMpIdya
compressible_UNDEFINED	saMpIdya
compression_noun	saMpIdana
compressive_UNDEFINED	saMpIdana
concept_noun	XAraNA/saMkalpanA
conceptually_UNDEFINED	saMkalpanAwmaka_rUpa_meM
concrete_noun	mUrwa
concurrent_adjective	safgAmI
condensed_noun	saMGaniwa
conduction_noun	saMcaraNa
configuration_noun	vinyAsa/saMrUpaNa
conjecture_noun	atakalabAjI
connecting_adjective	saMbaxXa
conservation_noun	saMrakRaNa
conservative_adjective	saMrakRI
constantan_UNDEFINED	kAnsatentana
constellations_noun	wArAmaMdala
constituent_noun	avayava
constitution_noun	safGatana/saMracanA
contraction_noun	saMkucana
convection_noun	saMvahana
convective_UNDEFINED	saMvAhaka
convention_noun	paxXawi
cooling_noun	SIwalana
co-ordinates_noun	nirxeSAMka
copernican_UNDEFINED	koparanikasa
coplanar_UNDEFINED	eka_hI_wala_meM
corpuscular_noun	kaNikA
corpuscular_UNDEFINED	kaNikA
corresponding_adjective	waxanurUpa
cosine_UNDEFINED	kojyA
cosmology_noun	brahmAMdikI
counterclockwise_UNDEFINED	vAmAvarwa
couple_noun	balayugma
covalent_UNDEFINED	sahasaMyojI
crest_noun	SIrRa/SiKara
critical_adjective	krAMwika
crore_UNDEFINED	karodZa
crosse_UNDEFINED	kroYsiwa/gujarawe
crystallite_noun	kristalANu
curie_UNDEFINED	kyUrI
current-carrying_adjective	XArAvAhI
cyclotron_UNDEFINED	sAiklotroYna
dalton_UNDEFINED	dAltana
darkish_UNDEFINED	kAlI-sI
data_noun	AMkadZe
decay_noun	kRaya
declination_UNDEFINED	xikpAwa
definiteness_UNDEFINED	suniSciwa/suspaRtawA
deformation_noun	virUpaNa
detection_noun	saMsUcana
detector_noun	saMsUcaka
device_noun	yukwi
diamagnetic_UNDEFINED	prawicumbakIya
diamagnetism_UNDEFINED	prawicumbakawva
diametrically_adjective	vyAsawa
diatomic_adjective	xvi-paramANuka
