##Added by Roja (04-05-12)
##Physics Compound Dictionary .d
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word   Hindi_word_in_wx
##############################################################################
framework_noun	DAzcA
kinematics_noun	SuxXa_gawikI/SuxXagawikI
rotation_noun	GUrNana
projectile_noun	prakRepya
space_noun	xiksWAna
plane_noun	samawala
perimeter_noun	parimApa
coincide_noun	saMpAwI
equality_noun	samawulyawA
non-zero_adjective	SUnyewara
trigonometry_noun	wrikoNamiwi
co-ordinates_noun	nirxeSAMka
expression_noun	vyaMjaka
radial_noun	wrijyIya
function_noun	Palana
simultaneous_noun	samakAlika
cliff_noun	cattAna
frequency_noun	Avqwwi
groove_noun	KAzcA
superposition_noun	aXyAropaNa
fallacy_noun	BrAmakawA
equilibrium_noun	sAmyAvasWA
pseduo-force_noun	Caxma_bala
variable_noun	parivarwI
aristotle_noun	araswU
epochal_adjective	yugAMwarIya
universal_noun	sArvaBOmika
net_noun	neta
collision_noun	saMGat/tatakkara
inertia_noun	jadZawva
moment_noun	AGUrNa
satellite_noun	upagraha
deformation_noun	virUpaNa
pair_noun	yugma
instant_noun	kRaNika/kRaNa
elastic_noun	prawyAsWa
inelastic_adjective	aprawyAsWa
isolated_adjective	vilagiwa/viyukwa/pqWaka
polygon_noun	bahuBuja
recoil_noun	prawikRepa/prawikRipwa
buoyancy_noun	uwplAvana/uwplAvakawA
compression_noun	saMpIdana
elongation_noun	prasara_koNa_xEGryavqxXi
configuration_noun	vinyAsa/saMrUpaNa
inextensible_adjective	aviwAnya
microscopic_noun	sUkRma/sUkRmaxarSanIya/sUkRmaxarSIya
ball-bearing_noun	boYla-beyariMga
lubricant_noun	snehaka
lubrication_noun	snehana
equivalence_noun	wulyawA
thrust_noun	praNoxa
generalisation_noun	vyApakIkaraNa
contraction_noun	saMkucana
non-conservative_adjective	asaMrakRI
trajectory_noun	prakRepa_paWa
configuration_noun	saMrUpaNa
moderator_noun	maMxaka
lattice_noun	jAlaka(lEtisa)
