##Added by Roja (04-05-12)
##Physics Compound Dictionary .
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word	Hindi_word_in_wx
############################################################################
framework	DAzcA
adiabatic_wall	ruXxoRma_Biwwi(xIvAra)
thermometry	wApamiwi
thermocouple	wApayugma
thermal_expansion	URmIya_prasAra
constant_volume_thermometer	sWira_Ayawana_wApamApI
incompressibility	asaMpIdyawA
condensed	saMGaniwa
young's_modulus	yaMga_guNAMka/yaMga_prawyAsWawA_guNAMka
approximation	sannikatana
thermal_stress	URmIya_prawibala
compressive_strain	saMpIdana_vikqwi
cross_section	anuprasWa_kAta
calorimeter	uQRmAmApI/kElorImItara
molar_specific_heat	molIya_viSiRta_URmA
thermostat	wApasWAyI
distinct	suspaRta
isotherm	samawApa_reKA
quasi-static	sWEwikakalpa
kelvin_scale	kelvina_mApakrama
isochoric	samaAyawanika
conduction	saMcaraNa
convection	saMvahana
