##Added by Roja (25-05-12)
##Science Compound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################
Synthetic	sAMSleRika
Systole	prakuMcana
Tarnish	malIna
Technique	wakanIka
Tendency	pravqwwi
Terminals	sire
Testes	vqRaNa
Tetanus	XanuswaMBa
Tetravalent	cawuHsaMyojaka
Thermal_power_plant	wApIya_vixyuwa_saMyaMwra
Three-dimensional	wriAyAmI
Tidal_Energy	jvArIya_UrjA
Tides	jvAra_BAtA
Tongue	jihvA
Trachea	SvAsanalI
Transmission	pAragamana
Transmitted	pAragawa
Transparent	pAraxarSI
Transpiration	vARpowsarjana
Transplantation	prawyAropaNa
Transportationsystem	vahana_waMwra
Transverse	anuprasWa
Triad	wrika
Trophic_level	poRI-swara
Turbulent	vikRubXa
Turns	Pere
Twinkle	timatimAnA
Unbreeding	aMwarjanana
Unicellular	ekakoSika
Universal_Indicator	sArvasUcaka
Unsaturation	asaMwqpwa
Untreated_sewage	anupacAriwa_vAhiwa_mala
Upstream	apacayana/upacayana/UrXva_pravAha
Ureter	mUwra_vAhinI
Urethra	mUwramArga
u/s	apacayana/upacayana/UrXva_pravAha/
Uterus	garBASaya
Vagina	yoni
Valency	saMyojakawA
Variants	parivarwa
Variation	vicalana
Vascular_Bundle	saMvahana_baMdala
Vas_deferens	SukravAhinI
Vegetative_propagation	kAyika_pravarXana
Vein	SirA
Vena_cava	mahASirA
Ventricle	nilaya
Verigated	Sabaliwa
Versatile	sarvawomuKI
Version	vikalpa
Villi	xIrGaroma
Vinegar	sirakA
Virtual	ABAsI
Vitreous_humour	kAcABa_xrava
Waste	apaSiRta
Wave_Energy	waraMga_UrjA
Wind	pavana
Wrought	pitavA
Xerophyte	marUxBixa
Zygote	yugmanaja
