#civil dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a.i.r.a.c._noun	e.AI.Ara.e.sI.
cargo_noun	kArgo/sAmAna
carriage_noun	vahana
cartelization_noun	saMGabaxXa_honA
cascade_noun	sopAnI
casting_noun	DAlanA/DalAI
casual_noun	aniyawa/nEmiwwika
catalogue_noun	graMWa-sUcI/sUcIpawra
category_noun	SreNI
catering_noun	AhAra_prabaMXa
causality_noun	hewukawA/kAraNawA
caution_noun	sAvaXAnI/sAvaXAna
cavitation_noun	Cixrana
cease_noun	banxa_karanA/samApwa_karanA
ceiling_noun	uccawama_sImA/aMwima_sImA/sIliMga
censure_noun	ninxA/apavAxa
certification_noun	pramANIkaraNa/pramANana
certiorari_noun	uwpreRaNa-leKa
cess_noun	upakara
chain_noun	SrqMKalA/cena
chair_noun	saBApITa
chairman_noun	saBApawi/aXyakRa
chairperson_noun	aXyakRa
chambers_noun	kakRa
chapter_noun	aXyAya/pATa
charge_noun	cArja/AveSa/praBAra
chargeman_noun	cArjamEna
charges_noun	praBAra
chargesheet_noun	Aropa_pawra
chart_noun	cArta
chassis_noun	cOkI
check-in-counter_noun	cEka-ina-kAuMtara
check-in-formalities_noun	cEka-ina-OpacArikawAeM
checklist_noun	jAzcasUcI
chronology_noun	kAlakrama
circuit_noun	paripaWa
circulars_noun	paripawra
circulated_noun	paricAliwa
circulation_noun	paricAlana/parisaMcaraNa
circulator_noun	parisaMcAriwra
clarification_noun	spaRtIkaraNa
clause_noun	XArA
clearance_noun	anumawi
climatology_noun	jalavAyu_vijFAna
clockwise_noun	xakRiNAvarwa
closure_noun	samApana
clubbing_noun	sAWa-sAWa/saMyukwa_karanA
co-activator_noun	saha-kriyaka
co-pilot_noun	saha-pAyalata
coalition_noun	milI_julI/sAJA/gaTabaMXana/sammilana
cockpit_noun	cAlaka_kakRa/kAkapita
coercion_noun	xabAva/niyaMwraNa/bala_prayoga
cognizance_noun	vicArAXikAra/saMjFAna
collision_noun	takkara
commemorative_noun	smAraka/smqwi_sva
commencement_noun	prAramBa/AraMBa_karanA
commendable_noun	praSaMsanIya/sarAhanIya
commensurate_noun	anu
comments_noun	tIkA_tippaNI/tippaNI/vicAra
compass_noun	kuwubanumA/xivasUcaka/kampAsa
compassionate_noun	anukampA
compensation_noun	kRawipUrwi/harjAnA
compliance_noun	anupAlana
component_noun	avayava/Gataka
compressor_noun	kamprESara
compute_noun	saMgaNana_karanA/saMgaNanA
concentration_noun	ekAgrawA/saMkexraNa
concept_noun	parikalpanA/saMkalpanA
concurrence_noun	sahamawi
condenser_noun	kaNdeMsara/xraviNawra/saMGaniwra/saMGAriwra/saMBAriwa_(bijalI)
conduct_noun	AcaraNa/vyavahAra/saMcAlana
conductivity_noun	cAlakawA
conductor_noun	saMvAhaka
connection_noun	saMparka
connector_noun	kanektara
consensus_noun	sahamawi
consider_noun	vicAra_karanA
consideration_noun	vicAra_ke_liye
consignee_noun	pareRiwI/prApwakarwA
consignment_noun	pareRaNa
consignor_noun	pareRaka
constitute_noun	gaTiwa_karanA/gaTana_karanA
constitution_noun	saMviXAna/viXAna/niyama/vyavasWA
construe_noun	arWa_lagAnA/samaJanA
consultant_noun	parAmarSaxAwA
contain_noun	aMwarviRta
contemplated_noun	vicAra_karanA_apekRiwa
contemporaneous_noun	samakAlIna
contiguous_noun	saMsakwa/satA_huA/nikatasWa
contingencies_noun	Akasmika_vyaya/AkasmikawAeM/samBAvyawA/prAsaMgikawA
continued_noun	kramAgawa
contractor_noun	TekexAra
convection_noun	saMvahana
convertor_noun	saMparivarwaka
conveyer_noun	vahiwra/vAhaka/kanveyara
coolant_noun	SIwaka_xravya/kulenta
cooler_noun	SIwaka/kUlara
copper_noun	wAMbA/wAmra
core_noun	krora
cost_noun	lAgawa
costing_noun	lAgawa_nirXAraNa
couple_noun	yugma/balayugma
coupler_noun	yugmaka/kaplara
coupling_noun	yugmana/yugmaka/kapaliMga
courting_noun	AvaraNa/DZakkana
crack_noun	xarAra
crash_noun	GvaMsa/xurGatanA
credit_noun	uXAra
creditors_noun	lenaxAra/qNaxAwA
criteria_noun	mApaxaNda
cruise_noun	pariBramaNa
cumulative_noun	saMcayI
curtain_noun	paraxA
custodian_noun	saMrakRaka_aBirakRaka
damage_noun	kRawi
damages_noun	harjAnA
dealer_noun	vyApArI/dIlara
debenture_noun	dibeMcara/qNa-pawra
debtor_noun	xenaxAra/qNI
decoding_noun	kUta_vAcana/dikodiMga
defaults_noun	cUka/wrutiyAM
deficiency_noun	kamI
deficit_noun	kamI
definition_noun	pariBARA
deflector_noun	vikRepaka/diPlektara
delegate_noun	prawyAyojiwa_karanA/sOMpanA
delegation_noun	SiRtamaMdala/prawiniXi-maMdala/prawyAyojana
delete_noun	kAtanA/hatAnA/nikAla_xenA/mitAnA
deletion_noun	ucCexa/vilopa/vilopana/apamArjana/hatA_xiyA_jAnA
deliberated_noun	saMkalpiwa_suvicAriwa/vicAra-_vimarSa/paryAlocana
delivery_noun	supurxagI
demotion_noun	paxAvanawi
density_noun	saGanawA/Ganawva
departure_noun	prasWAna
depose_noun	aBisAkRya_xenA
depreciation_noun	mUlyahrAsa
deputation_noun	prawiniyukwi
derailment_noun	avapaWana/patarI_se_uwaranA
dereservation_noun	ArakRaNa_samApwa_karanA
derogation_noun	alpIkaraNa/anAxara
descending_noun	avarohI/avarohana
designated_noun	nAmoxxiSta/paxanAmiwa/paxABihiwa
designation_noun	paxanAma
desirability_noun	vAMCanIyawA
destination_noun	gaMwavya_sWAna
detector_noun	saMsUcaka/ditektara_(siganala)
determine_noun	nirXAraNa
detrimental_noun	hAnikara
devaluation_noun	avamUlyana
deviate_noun	lIka_se_hatanA
deviation_noun	vicalana
device_noun	viXi/upAya
devolution_noun	anwaraNa/haswAMwaraNa
dgm_noun	upa_mahAprabaMXaka
diameter_noun	vyAsa
diaphragm_noun	dAyAPrAma/wanupata/maXyapata
die_noun	dAI/TappA
dies-non_noun	agaNanIya_xivasa/akArya_xina_(vi)
difference_noun	aMwara
dignitary_noun	gaNamAnya_vyakwi/prawiRTiwa_vyakwi
dignity_noun	garimA
dilatory_noun	vilambakArI
diligent_noun	pariSramI/uxyamI/aXyavasAyI
dimensions_noun	AyAma
dinner_noun	rAwri
diplomatic_noun	rAjanayika/kUtanIwijFa
directive_noun	nixeSa
discharge_noun	visarjana/nissaraNa
discretion_noun	vivekAXikAra/viveka
disembarked_noun	avawariwa
disfigure_noun	vi
dishonest_noun	beImAna/kapatI
disintegration_noun	viGatana/kaNIkaraNa
disinvestment_noun	viniveSa
dismantle_noun	purje_KolanA/viKaMdIkaraNa
dismay_noun	vyaWiwa_honA/mohaBaMga_honA
dismiss_noun	paxacyuwa_karanA
disparity_noun	asamAnawA
displeasure_noun	aprasannawA/nAKuSI/nArAjagI
disposal_noun	nipatAna
dispute_noun	vivAxa
disqualification_noun	niraharwA/ayogyawA
distortion_noun	vi
distributor_noun	viwaraka
disturbance_noun	vikRoBa
divergences_noun	apasaraNa
dividend_noun	lABAMSa
documentation_noun	praleKana
documents_noun	kAgZajAwa/xaswAvejZa/prapawra/kAgajZAwa
domestic/international_noun	Garelu/anwarrARtrIya
domestic_noun	aMwaraxeSIya_(GarelU)
domicile_noun	aXivAsa/nivAsa
donation_noun	xAna
downgrade_noun	mahawva_meM_kamI_karanA/dAunagreda_karanA
draft_noun	prA
drafting_noun	prA
drag_noun	walakarRaNa
drill_noun	baramA/beXanI
drizzle_noun	PuhAra
duly_noun	viXivawa
dummy_noun	akriya
durability_noun	tikAUpana
duration_noun	avaXi
dy.crss&t_)_noun	upa_rela_saMrakRA_Ayukwa(siga.evaM_xUra.)
dynamics_noun	gawivijFAna/gawikI
earmark_noun	uxxiRta_karanA/alaga_se_cinhiwa_karanA/nirxiRta_karanA
easting_noun	pUrvI_nirxeSAMka
eccentricity_noun	uwkenxrawA
eclecticism_noun	sAra-saMgraha
economic_noun	ArWika
educator_noun	apasAraka
effectually_noun	praBAvakArI_rIwi_se
efficacious_noun	praBAvowpAxaka
efficiency_noun	kArya_kuSalawA
effusion_noun	ni(kolana)saraNa
elaborate_noun	viswAra_se_bawAnA
elapsed_noun	vyapagawa
elected_noun	nirvAciwa
element_noun	alpAMSa/elimeMta/avayava/Gataka
elevate_noun	Upara_uTAnA
elevation_noun	ucAna/uwWAna/UzcAI
elevators_noun	elivetara
eligibility_noun	pAwrawA
eligible_noun	pAwra
embankment_noun	wata-banXa
embargo_noun	roka
embarkation_noun	savAra_honA
embezzlement_noun	gabana
emolument_noun	parilabXi
empennage_noun	eyarakrAPta_kA_piCalA_sirA/vimAna_paSca
encased_noun	samAvqwwa/AkoRiwa
endeavour_noun	prayAsa
endorsement_noun	pqRTAMkana
endurance_noun	avaXi_kRamawA
energizing_noun	UrjAyana
engine_noun	iMjana
enquiry_noun	pUCawACa/jAMca/jAMca-padZawAla
enrooted_noun	pAravahana
entitle_noun	aXikAra_xenA/hakaxAra_banAnA
entitled_noun	pAwra
entitlement_noun	hakaxArI/aXikAriwA/pAwrawA
entrepreneur_noun	uxyamI/vyavasAyI
environment_noun	paryAvaraNa
envisage_noun	kA_sAmanA_karanA/kA_XyAna_karanA/saMkalpanA_karanA
envisaged_noun	parikalpiwa
epitome_noun	sAra/niRkarRa
equal/equality_noun	samAna/samawA/samAnawA
equilibrium_noun	sAmyavasWA/saMwulana/sAmya
errata_noun	SuxXi-pawra
escalator_noun	calawI_sIDZI/cala_sopAna
escape_noun	awivAhI/nissaraNa
establishment_noun	sWApanA
estimates_noun	anumAna/Akalana
etiquette_noun	SiRtAcAra
evaluation_noun	mUlyAkaMna
evidence_noun	sAkRya/sabUwa
ex-officio_noun	paxena
ex-parte_noun	eka-pakRIya
excavation_noun	KuxAI
exclude_noun	apavarjiwa_karanA/alaga_karanA
executive_noun	kAryapAlaka/kAryakArI
exempted_noun	CUta_xenA/avamukwa
exemption_noun	vimocana/unmocana/CUta/mAPI/avamukwi/vimukwi
exercise_noun	aByAsa/prayAsa
exigency_noun	wAwkAlika_AvaSyakawA
existing_noun	vixyamAna/varwamAna/praswuwa/mOjUxA/pracaliwa
