#administrative dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
bend_noun	modZa/JukanA/mudZanA/modZanA
beneficial_noun	lABapraxa
beneficiary_noun	hiwaBAgI/lABArWIZ
benefit_noun	hiwa/lABa/PZAyaxA/hiwalABa
benevolence_noun	hiwakAriwA
bequeath_noun	vasIyawa_karanA/vasIyawa_xvArA_xenA
bequest_noun	vasIyawa
bereaved_noun	SokasaMwapwa
betray_noun	viSvAsaGAwa_karanA
betterment_noun	KuSahAlI/unnawi/suXAra
beverage_noun	peya
bias_noun	afBanawi/JukAva
bibliographer_noun	graMWasUcIkAra/graMWa-sUcIkAra
bibliography_noun	graMWasUcI
bicameral_noun	fxvasaxana/fxvasaxanI
bid_noun	bolI/bolI_lagAnA
bidding_noun	bolI_lagAnA
biennial_noun	fxvavAfrRaka
bifurcate_noun	xo_BAgoM_meM_batanA/xo_BAgoM_meM_bAtanA/fxvaBAjana
bigamy_noun	fxvavivAha(praWA)
bilateral_noun	fxvapakRIya
bilingual_noun	fxvaBARI
bill_noun	viXeyaka_bila
binder_noun	jilxasAjZa
binding_noun	bAXyaka/baMXanakArI
biochemist_noun	jIvarasAnajFa
biodata_noun	jIvanavqwwa
biologist_noun	jIvavijFAnI
bipartite_noun	fxvaxalIya/fxvapakRIya/uBayapakRI
birthplace_noun	janma-sWAna
biweekly_noun	pAkRika/arXa-sApwAhika
blacksmith_noun	luhAra/lohakAra
blank_noun	korA/sAxA/niraMka/KAlI/rikwa
blast_noun	XamAkA
blending_noun	safmmaSraNa
block_noun	KaMda/bloYka
blockade_noun	nAkAbaMxI
blueprint_noun	blUfpraMta/KAkA
bluff_noun	JAsA
board_noun	borda/maMdala
boarder_noun	AvAsI
body_noun	nikAya
bodyguard_noun	aMgarakRaka
bogey_noun	bogI
bombardment_noun	golAbArI/bamavaRAZ
bonafide_noun	vAswavika/saxBAva/saxBAvI/saxASayI
bonafides_noun	nekanIyawI/saxBAva/saxASayawA
bond_noun	baMXapawra/boYNda
bonus_noun	bonasa
book-keeper_noun	bahI_leKaka/munIma
book-keeping_noun	bahIKAwA_liKanA/bahIKAwA_paxXawi
book_noun	puswaka_/bahI
booking_noun	buka_karanA/bukiMga
booklet_noun	puswikA
boom-man_noun	bUma_mEna
booth_noun	bUWa
borrow_noun	uXAra_lenA
borrower_noun	uXArakarwA
bottleneck_noun	gawyavaroXa
boundary_noun	sImA
bowman_noun	bomEna
box_noun	baksa/petI
boy_noun	boYya
boycott_noun	bahiRkAra/boYyakAta
bracket_noun	koRTaka
bracketing_noun	koRTakiwa_karanA
brake_noun	breka_roka
brakesman_noun	brekamEna
branch_noun	SAKA
brand_noun	CApa
breach_noun	BaMga
break-up_noun	byorA
breakage_noun	tUta-PUta
breed_noun	nasla
breeder_noun	prajanaka
breeding_noun	prajanana
brevity_noun	saMkRipwawA
brewery_noun	maxyanirmANaSAlA
bribe_noun	GUsa/riSvawa
bribery_noun	GUsaKorI/riSvawaKorI
brief_noun	saMkRipwa/pakRAsAra/brIPZa
briefing_noun	pawrasAra
brigade_noun	brigeda
brigadier_noun	brigediyara
brilliant_noun	prawiBAvAna
broadcast_noun	prasAraNa
broadsheet_noun	badZA_citTA
brochure_noun	vivaraNikA
broker_noun	xalAla
brokerage_noun	xalAlI
budget_noun	bajata/Aya-vyayaka
buffer_noun	baPZara
bugler_noun	bigulara
building_noun	Bavana/imArawa
bulk_noun	Woka/aMbAra/Dera/aXikAMSa/parimANa
bulletin_noun	buletina
bumper_noun	bampara_jZoraxAra/BarapUra
bunching_noun	gucCana
bungling_noun	golamAla/golamAla_karanA
burden_noun	BAra
bureau_noun	byUro
bureaucracy_noun	aXikArI_waMwra/xaPwaraSAhI
bureaucrat_noun	aXikArI/xaPwaraSAha
burser_noun	barsara/koRa-aXIkRaka
burst_noun	PatanA
business_noun	vyavasAya/kArobAra
butler_noun	batalara
buyer_noun	krewA/KZarIxAra
cabin_noun	kebina
cabinet_noun	maMwrimaMdala/alamArI/petikA
cablegram_noun	samuxrI_wAra
cadre_noun	saMvarga/kAdara
calamity_noun	vipafwwa
calculation_noun	parikalana
calculator_noun	parikaliwra
calender_noun	kEleMdara/sUcI
calligraphist_noun	suleKakAra/KuSanavIsa
calling_noun	vyavasAya/AjIvikA
cameraman_noun	kEmarAmEna
camp_noun	Sivira/kEMpa
campaign_noun	afBayAna
camper_noun	Siviraka
cancel_noun	raxxa_karanA
cancellation_noun	raxxa_karanA
candidate_noun	aByaWIZ/ummIxavAra
candidature_noun	aByarWiwA/ummIxavArI
cantonment_noun	CAvanI
canvassing_noun	mawArWana/mawa-yAcanA/vota_mAMganA/pakRa-pracAra
capability_noun	sAmaWrya
capable_noun	samarWa
