#it dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a-transducer_noun	e_trAMsdyUsara
console_noun	kansola
consolidation_noun	samekana
consolidator_noun	samekaka
constant_noun	niyawAMka/sWirAMka
constraint_noun	prawibaMXiwa
constructor_noun	saMracaka
consummable_noun	upaBogya_sAmagrI
container_noun	pAwra
content_noun	aMwarvaswu/aMSa
contention_noun	prayoga_prawisparXA
context-sensitive_noun	saMxarBa_sugrAhI
context_noun	saMxarBa
contingency_noun	Akasmika/AkasmikawA
contraction_noun	saMkucana
contradiction_noun	visaMgawi/viroXa
contrast_noun	viparyAsa_vyawireka
contribution_noun	aMSaxAna
control_noun	niyaMwraNa
convergence_noun	aBisAriwA
conversation_noun	saMvAxa
conversational_noun	saMvAxI
converse_noun	uwkrama/viloma
conversion_noun	rUpAMwaraNa
converter_noun	parivarwaka
coprocessor_noun	saha-prakramaka
copy_noun	prawilipi
copyright_noun	sarvAXikAra
cord_noun	koYrda
corelated_noun	sahasambaxXa
corollary_noun	upaprameya
correction_noun	saMSoXana
corrupted_noun	anupayogI/BqRta
coset_noun	sahasamuccaya
costs_noun	lAgawa
count_noun	gaNanA
countable_noun	gaNanIya
counter_noun	gaNiwra
covariance_noun	sahaprasaraNa
cover_noun	AvaraNa/AcCAxana
coverage_noun	vyApwi_kRewra/praRAraNa
covering_noun	AvaraNa/AcCAxana/parASa
cpm_noun	sI._ema._ema._(krAMwika_paWa_viXi)
crash_noun	XvaMsa
create_noun	racanA/sqjana
credit_noun	jamA/sAKa/uXAra
cropping_noun	xqSyAMSana
crt_noun	sIAratI
cryptographic_noun	gUDZAleKI
cryptography_noun	gUDZaleKana/gUDaleKikI/kriptogrAPika
cursor_noun	karsara
curve_noun	vakra
cyber_noun	sAibara
cybernatics_noun	sAibaranetiksa
cybernation_noun	sAibaraneSana
cycle_noun	cakra
cyclic_noun	cakrIya
daemon_noun	demoYna
database_noun	detAbesa
datagram_noun	AMkadZAreKa
datum_noun	detama/AMkadZA
deadlock_noun	gawiroXa
debenture_noun	qNapawra
debt_noun	nAme/debita
debtors_noun	qNI/xenaxAra/karjaxAra
debug_noun	xoRamArjana
decoder_noun	kUtavAcaka/vikodaka
decrypt_noun	vigUDZa/vikoda
decryption_noun	vikodana
definition_noun	pariBARA
defragmentation_noun	ekIkaraNa
delay_noun	vilaMba
delete_noun	mitAnA/hatAnA
delimiter_noun	apasImaka/parisImaka
delta_noun	deltA
demand_noun	mAMga
demo_noun	praxarSana
demodulation_noun	vimoYdulana
demodulator_noun	vimoYdulaka
demount_noun	vyAropaNa
demultiplexer_noun	vibahusaMkewaka
demultiplexing_noun	vibahusaMkewana
denormalization_noun	asamAnyIkaraNa
density_noun	Ganawva/saGanawA
dependency_noun	ASriwA/nirBarawA
deprecate_noun	viroXa_karanA
depreciation_noun	avamUlyana
deproceduring_noun	apa_prakriyana
depth_noun	gaharAI
dequeue_noun	vipaMkwi
dereferencing_noun	apanirxeSana/apasaMxarBana
derivation_noun	vyuwpawwi
derived_noun	vyuwpanna
descendant_noun	avarohI
descriptor_noun	vivarNaka/varNanakarwA
design_noun	aBikalpa
desktop_noun	deskatoYpa
despatch_noun	preRaNa
despatcher_noun	preRaka
destination_noun	gaMwavya
destructor_noun	vinASaka
detail_noun	viswAra
deterministic_noun	nirXAraNAwmaka/niScayAwmaka
detraction_noun	apakarRaNa
developer_noun	vikAsaka
device_noun	yukwi
dfa_noun	dI_ePa_e
diagnosis_noun	nixAna
diagnostics_noun	nixAna/nixAnikI
diagonalization_noun	vikarNana
diagram_noun	AreKa
dial-up_noun	dAyalana
dial_noun	dAyala
dialog_noun	saMvAxa/vArwAlApa
dictionary_noun	SabxakoSa
difference_noun	Bexa/aMwara
differentiation_noun	avakalana
differentiator_noun	avakalaka
digit_noun	aMka
digital_noun	aMkIya
digitization_noun	aMkarUpaNa
digitize_noun	aMkIkaraNa
digitizer_noun	aMkarUpaka
digraphs_noun	xvi_AleKa/xvi_leKAciwra
dimension_noun	vimA
dimensionality_noun	vimIyawA
diodes_noun	dAyod
direct-access_noun	prawyakRa_aBigama
direct_noun	prawyakRa
directive_noun	nixeSa
director_noun	nixeSaka
directory_noun	nixeSaka
disable_noun	asamarWa
disassembler_noun	vikoMdAwaraka
disconnect_noun	asaMbaMXana/visaMbaMXana
discrete_noun	asaMwawa/asawawa/vikkwi
disjoint_noun	asaMyukwa/asaMXi
disjunction_noun	aMsaMyojana/viyojana
disk_noun	cakrikA/diska
diskette_noun	disketracakrie
disposal_noun	nipatAna
distance_noun	xUrI
distortion_noun	virUpaNa
distributed_noun	viwariwa
distribution_noun	viwaraNa
distributive_noun	viwaraka
divisor_noun	BAjaka
dml_noun	dI_ema_ela
document_noun	praleKa
documentation_noun	praleKana
domain_noun	domena/prakRewra
donominator_noun	hara
dos_noun	doYsa
down_noun	aXo/nIce
downloading_noun	aXIBAraNa
dragging_noun	karRaNa
dram_noun	dI_rEma
drift_noun	aPavAha
driver_noun	cAlaka
drop_noun	pAwa
dual_noun	xvEXa/xvi
dump_noun	sannikRepa
duplexing_noun	xvEXIkaraNa
dynamic_noun	gawika
dynamics_noun	gawivijFAna/gawikI
e-business_noun	IvyavasAya
e-commerce_noun	IkAmarsa/IvANijya
e-mail_noun	ilektroYnika_mela
ebcdic_noun	ibIsIdIAIsI
echo_noun	prawiXvani
echoing_noun	gUMja/anugUMjana/prawiXvaniyana
edge_noun	kora
edit_noun	saMpAxana
editor_noun	saMpAxaka
eeprom_noun	iipI_roYma
electronics_noun	ilektroYnikI
element_noun	wawva/avayava
elements_noun	avayava
embedded_noun	aMwa:sWApiwa
emulation_noun	yaMwrAnukaraNa/yaMwrAnukAraka
encapsulation_noun	kEpsUlana/kEpsUlIkaraNa
encipher_noun	kUtaleKana
encode_noun	kUtaleKana
encoder_noun	kUtaleKaka/kodaka
encoding_noun	kUtaleKana
encryption_noun	gopana
endmarker_noun	aMwya_cinhka
enter_noun	praveSa
entity_noun	sajFalwava
enumerable_noun	gaNanIya
environment_noun	pariveSa
eprom_noun	I-proYma
equalizer_noun	wulyakAraka
equipment_noun	upaskara
erase_noun	vyAmArjana/mitAna
erd_noun	I_Ara_dI
event_noun	GatanA
exception_noun	apavAxa
exclusion_noun	apavarjana
exclusive-or_noun	ananya_aWavA
execute_noun	niRpAxana
exist_noun	vixyamAna
exit_noun	nirgama
explicit_noun	suspaRta
explore_noun	anveRaNa_karo
expression_noun	aBivyakwa
extension_noun	viswAra
extent_noun	sImA/viswAra
extermination_noun	unmUlana
external_noun	bAhya
extract_noun	niRkarRa
extraction_noun	niRkarRaNa
facility_noun	suviXA
facsimile_noun	prawikqwi
factor_noun	kAraka
fan-in_noun	niveSAMka
fan-out_noun	nirgawAMka
feasible_noun	sAXya
feature_noun	lakRaNa
feflesive_noun	aprawibarwI
fetch_noun	Anayana
field_noun	kRewra
file_noun	saMcikA
filter_noun	Piltara/nispaMxaka
filtering_noun	nispaMxana/Piltarana
find_noun	anveRaNa/Koja
firmware_noun	Parma_veara
flag_noun	pawAkA/cinhana
flowchart_noun	pravAha_saMciwra
flowcharting_noun	pravAha_saMciwraNa
fluctuation_noun	uccAvacana
flush_noun	sapAta/praXAvana
flyback_noun	prawiXAvana/prawiXAva
focussing_noun	keMxrIyaNa
folder_noun	Poldara
folding_noun	valana
font_noun	PAMEYnta
foot_noun	pAxa/Puta
footer_noun	paxAMwa
footprint_noun	pAxa_muxraNa
forest_noun	vana
forgery_noun	XoKA_XadZI
fork_noun	viSAKa
form_noun	rUpa/pqRTa
format_noun	PEYArameta/saMrUpa/PoYmerta
formatting_noun	saMrUpaNa
fortran_noun	PoratroYna
fractal_noun	AMSika
fragment_noun	KaMda
fragmentation_noun	viKaMdana/KaMdana
frame_noun	Prema
framing_noun	Premana/swaMBa_sarjana
fredmail_noun	Predamela
free-net_noun	mukwa_neta
freeware_noun	PrIveyara
frequency_noun	Avqwi/bAraMbArawA
function_noun	prakArya/Palana
garbage_noun	kacarA
gate_noun	xvAra
gateway_noun	xvAra
generalization_noun	vyApakIkaraNa
get_noun	gEta
glitch_noun	glica/vyavaXAna
global_noun	sArvawrika/viSvIya
gnu_noun	jI_ena_yU
go_noun	jAnA
gopher_noun	goPara
grammar_noun	vyAkaraNa
graph_noun	grAPa
graphics_noun	AleKI
grep_noun	grepa
grid_noun	grida
group_noun	samUha
groupware_noun	samUha_veyara
growth_noun	vqixxa
guard_noun	rakRaka/gArda
gunzip_noun	ganajipa
hack_noun	anAXikArI_praveSa
hacker_noun	GusapETiyA
half-adder_noun	arXa_yojaka
half-substracter_noun	arXa_vyavakalaka
half-word_noun	arXa_Sabxa
hand_noun	haswa
