#computer science dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
no-operation_noun	saMkriyAhIna_anuxeSa
non-compact_noun	asaMhawa
non-conjunction_noun	waWApUraka
non-determinism_noun	anirXAriwA
non-disjunction_noun	aWavA_pUraka
non-interactive_noun	anyonyakriyAhIna
non-locking_noun	awAlakana
non-reusable_noun	punaH_aprayojya
nor_noun	aWavA_pUraka'
normalize_noun	prasAmAnyIkaraNa
normalizer_noun	prasAmAnyaka
not_noun	pUraka'
not-and_noun	waWA_pUraka'
not-or_noun	aWavA_pUraka'
nybble_noun	cawuHxvayaMka/nibala
octonary_noun	aRtAXArI
off-line_noun	lAinewara
off-time_noun	KAlI_samayZa
offset_noun	oYPaseta
on-line_noun	yugapaw/lAina-ArUDZa
one-address_noun	eka_pawA
one-chip_noun	eka_patalikA
one-element_noun	eka-avayava
one-for-one_noun	ekEka
one-output_noun	eka_nirgama
open-ended_noun	vivqwAMwa
operand_noun	saMkArya
operation_noun	saMkriyA/pracAlana
operator_noun	pracAlaka/oYparetara/saMkAraka
optimization_noun	iRtamIkaraNa
option_noun	vikalpa
optoelectronics_noun	prakASa_ilektroYnikI
optoisolater_noun	prakASIya_pqWakkAraka
or_noun	aWavA'
output_noun	nirgama
overflow_noun	aXipravAha
overload_noun	awiBAra
overprinting_noun	awimuxraNa
overpunch_noun	awi_CixraNa
owner_noun	svAmI
pacing_noun	paxanicayana
pack_noun	saMkula/gaddI
package_noun	pEkaga/saMkula
packet_noun	pEkata
packing_noun	saMkulana
pad_noun	pEda/niyawamAna_kRINakArI
padding_noun	pEdana
page_noun	pqRTa
pagination_noun	pqRTIkaraNa
paging_noun	pqRTana
panel_noun	pEnala/pattikA
paragraph_noun	pErAgrAPa/pErA
parallelism_noun	yugapawwA
parameter_noun	prAcala
parametron_noun	pErAmetroYna
parse_noun	paxa_vyAKyA
parser_noun	paxa_vyAKyAyiwra
parsing_noun	paxa_paricaya
partitioning_noun	viBAjana
pascal-plus_noun	pAskalaplasa
passband_noun	pAraNabEMdZa
password_noun	pAraNa_Sabxa
patch_noun	yaWecCa_yojaka
peg0count_noun	uxbuXana_saMKyA
pel_noun	ciwra_avayava
percolation_noun	uwpAraNa
perforator_noun	avaCixriwra
peripheral_noun	upAMwIya/upasAXana/sahAyaka_yaMwra
phoneme_noun	svanima
pictorial_noun	ciwramaya/ciwrIya
pipelining_noun	saMpaMkwIyana
pitch_noun	saMprawIka_aMwarAla
pixel_noun	ciwra_avayava
pixelization_noun	ciwra_avayavIkaraNa
place_noun	sWAna
platen_noun	pletana/rohapatata
plex_noun	saMkewana
plotter_noun	AleKiwra
plotting_noun	AleKana
plugboard_noun	plagaborda
pocket_noun	saMcayikA
polling_noun	kramavaraNa
polymorphic_noun	bahurUpI
pop_noun	saMkarRa
port_noun	saMxvAra
positioning_noun	sWiwi_nirXAraNa
postamble_noun	pAxasWa_kUta
postcondition_noun	paSca_avasWA
postedit_noun	paSca_saMpAxana
postmortem_noun	uparAMwa_viSleRaNa
precision_noun	pariSuxXawA/pariSuxXi
precondition_noun	pUrva_prawibaMXa
predicate_noun	nirXAraka/viXeya
preprocessor_noun	pUrvasaMsAXiwra
preset_noun	pUrva_nirXAriwa
presort_noun	CaztAI_pUrva/SAtana_pUrva
prestore_noun	BaMdAraNa_pUrva
printer_noun	muxriwra
prioritize_noun	varIyana
privacy_noun	gopanIyawA
processing_noun	saMsAXana
processor_noun	saMsAXiwra
program_noun	kramAxeSa/progrAma
programatics_noun	kramAxeSikI
programmer_noun	kramAxeSaka/kramAxeSiwra
programming_noun	kramaxeSana/progrAmana
prompt_noun	AhvAna
protocol_noun	saxeSAcAra
proving_noun	pramANana
pseudo-instruction_noun	Caxma_anuxeSa
pseudoclock_noun	Caxma_kAlaxa
pseudocursor_noun	Caxma_prasaMkewaka
pulse_noun	spaMxa
pulser_noun	spaMxaka
punch_noun	CixraNa/Cixriwra
punctuation_noun	virAma_cihnana
push_noun	saMBara
push-down_noun	aXosaMBara
quad_noun	cawuH
quadripuntal_noun	cawuH_CixrI
quadruple_noun	cawuRka
qualifier_noun	viSeRaka
quantification_noun	pramAwrIkaraNa
quantifier_noun	pramAwraka
quantize_noun	kvAntamana
quantizer_noun	kvAntamaka
quartet_noun	cawuRtaya
query_noun	pqcCA
queue_noun	paMkwi
queuing_noun	paMkwiyana
quiesce_noun	akriyaNa
quiescent_noun	niRpaMxa
quinary_noun	paMcAXArI
quintet_noun	paMcawaya
rack_noun	rEka
racking_noun	paMkwiSaH_praxarSa
radix_noun	mUlAMka
range_noun	parisara
raster_noun	rEstara/reKApuMja
re-entrant_noun	punaH_praveSya
reachability_noun	gamyawA
read_noun	paTana
read-only_noun	kevala_paTana
reader_noun	paTiwra
reader-copier_noun	paTiwra_prawilipiwra
reading_noun	paTana/pATyAMka
realm_noun	parikRewra
receiver_noun	aBigrAhI
recompile_noun	punaH_anuBARaNa
recomplementation_noun	punaH_pUrakIkaraNa
reconciliation_noun	samAXAna
reconfiguration_noun	punarvinyAsa
