#electrical dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
condenser_noun	saMXAriwra/kaMdensara/xravINawra
conductance_noun	cAlakawva
conduction_noun	cAlana
conductivity_noun	cAlakawA
conductor_noun	cAlaka/kaMdaktara
conduit_noun	kaMdyUta
cone_noun	SaMku
configuration_noun	aBivinyAsa
confirm_noun	puRti_karanA
confirmation_noun	puRtikaraNa/sWAyIkaraNa
conformity_noun	anurUpawA/anukUlawA
connect_noun	saMbaMXana/saMyojana
connector_noun	saMbaMXaka
conservation_noun	saMrakRaNa
conservator_noun	saMrakRaka/kaMjavetarra
considerable_noun	vicAraNIya/mahawvapUrNa
considerably_noun	awyaXika/bahuwa
consideration_noun	prawiPala/vicAra
consignee_noun	preRiwI
consigner_noun	preRaka
consignment_noun	pareRaNa/preRiwa_sAmAna/Kepa
consolidate_noun	samekiwa
consolidation_noun	saMpiMdana/saMGanana
consortium_noun	kansortiyama/saMGa/samUha
constant_noun	sWira/sWirAMka/niraMwara
constituent_noun	saMGataka/avayava/Gataka
constraint_noun	avaroXa/bAXA
consultant_noun	parAmarSaxAwA/parAmarSI/salAhakAra
consultation_noun	parAmarSa/salAha
consumer_noun	upaBokwA
consumption_noun	upaBoga/Kapawa
contact_noun	saMparka
contamination_noun	saMxURaNa
contents_noun	aMwarvaswu/viRaya-sUcI/viRaya-vaswu
context_noun	saMxarBa/prasaMga/prakaraNa
contingency_noun	AkasmikawA
contingent_noun	Akasmika/prAsaMgika
continuous_noun	sawawa/lagAwAra/niraMwara
contour_noun	samocca_reKA
contract_noun	TekA/saMvixA
control_noun	niyaMwraNa
controlled_noun	niyaMwriwa
controller_noun	niyaMwraka
convener_noun	saMyojaka
convenient_noun	suviXAjanaka
conventional_noun	paraMparAgawa/pAraMparika
convergence_noun	aBisaraNa/aBisAriwA
conversion_noun	rUpAMwaraNa/parivarwana
converter_noun	parivarwaka
convex_noun	uwwala
convey_noun	le_jAnA/sUciwa_karanA/saMvahana
conveyor_noun	vAhaka
conviction_noun	xoRa_sixXi/xqDZa_XAraNA
cooling_noun	SIwalana
cooperation_noun	sahayoga
coordinate_noun	samanvayana/nirxeSAMka
copy_noun	prawilipi/prawi/kApI/nakala
cord_noun	dorI/wAra
core_noun	kroda/kora
cornice_noun	kArnisa
corona_noun	koronA
correlation_noun	sahasaMbaMXa
corrigendum_noun	SuxXi-pawra
corrosion_noun	saMkRAraNa
cost_noun	lAgawa
counter-claim_noun	prawixAvA
coupler_noun	yugmaka/yojaka/kaplara
coupling_noun	yugmana/kapaliMga
course_noun	swara/parawa/raxxA/paWa
cover_noun	AvaraNa
coverage_noun	vyApwi/AcCAxana
crack_noun	xarAra
crane_noun	krena
creep_noun	visarpaNa/maMxa_virUpaNa
crisis_noun	saMkata/ApAwa
criterion_noun	mAnaxaMda/kasOtI/nikaRa
critical_noun	krAMwika/mahawvapUrNa
crossing_noun	pAra-paWa/krAsiMga
crude_noun	kaccA/apariRkrawq
crush_noun	saMxalana
crusher_noun	xaliwra
crust_noun	parpatI
cube_noun	Gana
culvert_noun	puliyA
cumulative_noun	saMcayI
curing_noun	warAI
current_noun	XArA/karaMta
curve_noun	vakra
curved_noun	GumAvaxAra/vakrAkAra
cusec_noun	kyUseka/GanaPuta_prawi_sekedaM
custodian_noun	aBirakRaka
custody_noun	aBirakRA/hirAsawa
cut-motion_noun	katOwI-praswAva
cut-off_noun	kata-oYPa/kriyAMwa
cycle_noun	cakra
cyclone_noun	cakravAwa
cylinder_noun	belana/siledaraM
cylindrical_noun	belanAkAra
dam_noun	bAMXa
damage_noun	kRawi
damp_noun	nama/Arxra/sIlA
damping_noun	avamaMxana
danger_noun	KawarA/saMkata
data_noun	dAtA
database_noun	dAtAbesa
de-electrified_noun	nirvixyuwIkqwa
de-facto_noun	vaswuwaH/vAswava_meM
debris_noun	malabA
decay_noun	kRaya
decentralisation_noun	vikeMxrIkaraNa
decibel_noun	desIbala
decimal_noun	xaSamalava
decision_noun	nirNaya/PEsalA
declaration_noun	GoRaNA
decoder_noun	vikodaka/kUtavAcaka
decouple_noun	viyugmana
decrease_noun	kama_karanA/kama_honA/kamI
deduction_noun	katOwI
deed_noun	vileKa
default_noun	cUka/bakAyA
defaulter_noun	cUkakarwA/bakAyAxAra
defective_noun	xoRapUrNa/wrutipUrNa
defendant_noun	prawivAxI
deferred_noun	AsWagiwa
deficiency_noun	kamI/nyUnawA
deficit_noun	GAtA/kamI
deflection_noun	vikRepa
deforestation_noun	vano_kI_katAIM/vana_unmUlana
degradation_noun	nimnIkaraNa
degree_noun	digrI/aMSa/koti
dehydration_noun	nirjalIkaraNa
delay_noun	vilaMba/xerI
deliberation_noun	vicAra-vimarSa
delinquent_noun	apacArI
delivery_noun	supurxagI
delta_noun	naxI_kA_muhAnA/deltA
demand_noun	mAMga
demerit_noun	avaguNa
demodulation_noun	vimoYduna/dimoYdyUleSana
demolish_noun	DahAnA
demonstration_noun	praxarSana/nixarSana
demurrage_noun	demareja/vilaMba_Sulka/GAtA_Sulka
dense_noun	GanA/saGana
density_noun	saGanawA/Ganawva
depletion_noun	avakRaya/tTAsa
deposition_noun	jamA/nikRepaNa/aBisAkRya_tTa
depreciation_noun	mUlya_Asa
depth_noun	gaharAI
design_noun	dijZAina/aBikalpa/aBikalpanA
designate_noun	nAmoxxiRta_karanA/paxanAmiwa
desilting_noun	vigAxana
destination_noun	gaMwavya
detail_noun	byOrA/viswqwa_vivaraNa
detection_noun	Koja/pawA_lagAnA/saMsUcana
detector_noun	saMsUcaka
deteriorate_noun	KarAba_honA/bigadZanA/apakarRa
deterrance_noun	prawivAraNa
deterrence_noun	nivAraNa/avaroXa/rukAvata
detonation_noun	aXisPotana
detonator_noun	aXisPotaka
detrimental_noun	hAnikAraka/ahiwakara
devaluation_noun	avamUlyana
deviation_noun	vicalana_aMwara
device_noun	sAXana/yukwi
dewatering_noun	vijalana
diagnose_noun	nixAna_karanA
diagnostic_noun	nExAnika/nixAna_saMbaMXI
diagram_noun	AreKa
diameter_noun	vyAsa
dielectric_noun	dAiilektrika/parAvExyuwa
diffuser_noun	visAraka
digit_noun	aMka
digital_noun	aMkIya/dijitala
dimension_noun	vimA
dimmer_noun	xIpwi_maMxaka
diode_noun	dAyoda
dipole_noun	xviXruva/dAipola
disbursement_noun	saMviwaraNa
disc_noun	cakrikA/diska
discard_noun	alaga_karanA/hatA_xenA
discharge_noun	visarjana/nissaraNa
discipline_noun	anuSAsana/viRaya_kRewra
disclaimer_noun	xAvA-wyAga
disclosure_noun	prakatana
disconnect_noun	viyojana
disconnector_noun	viyojaka
discover_noun	pawA_lagAnA/KojanA
discrepancy_noun	visaMgawi
discretion_noun	viveka/vivekAXikAra
discrimination_noun	BexaBAva
disintegration_noun	viGatana/vicCexa
dismantle_noun	purje_KolanA/viKaMdIkaraNa
disparity_noun	asamAnawA
disperse_noun	visarjiwa_honA
dispersion_noun	prakIrNana/parikRepaNa
displacement_noun	visWApana
disposal_noun	nipatAna/nipatArA/niswAraNa
dispute_noun	vivAxa
disqualified_noun	ayogya
dissemination_noun	prasAra
dissipation_noun	kRaya/visaraNa
dissolve_noun	viGatiwa_karanA/BaMga_karanA/GulanA/vilIna_honA
distempering_noun	distempara_karanA
distillation_noun	Asavana
distortion_noun	vikqwi/virUpaNa
distribution_noun	viwaraNa
distributor_noun	viwaraka
disturbance_noun	vikRoBa/upaxrava
ditto_noun	waxEva/vahI
divergence_noun	apasaraNa
diversion_noun	viRayAMwara/paWAMwara
document_noun	xaswAveja/praleKa/kAgajAwa
documentation_noun	praleKana
dome_noun	gumbaxa/doma
domestic_noun	GarelU/anwarxeSIya
dominant_noun	pramuKa/prabala
downward_noun	aXomuKI
drain_noun	drena/nAlA
drainage_noun	jala_nikAsa/apavAhana
drawn_noun	Ahariwa
drift_noun	apavAha/driPta
drilling_noun	veXana/driliMga
drum_noun	drama
dryness_noun	SuRkawA
duct_noun	vAhikA/dakta
duly_noun	viXivaw
dump_noun	Dera_lagAnA/Peka_xeM_nA
dumper_noun	daMpara
durability_noun	tikAUpana
dust_noun	XUla
dynamic_noun	gawika
dynamics_noun	gawikI/gawivijFAna
dynamometer_noun	balamApI/dAyanamomItara
earmarked_noun	viSeRa_cihniwa
earth-conductor_noun	BU_-saMparka_cAlaka/kaMdaktara
earthing_noun	BU_-saMparkana
echo_noun	prawiXvani
economical_noun	miwavyayI/kiPAyawI
economiser_noun	miwopayojiwra/ikonomAijara
eddy_noun	BaMvara
edge_noun	XAra/kora/kinArA
edging_noun	kinArAbaMxI
effect_noun	praBAva/asara
effective_noun	praBAvI
efficiency_noun	xakRawA
efficient_noun	xakRa
ejector_noun	uwkRepaka/ijektara
elastic_noun	lacIlA/lacakaxAra/prawyAsWa
electric_noun	vixyuwa
electrical_noun	vExyuwa/vixyuwa
electrification_noun	vixyuwIkaraNa
electrified_noun	vixyuwIkqwa
electro-mechanical_noun	vExyuwayAMwrika
electrode_noun	ilektroda
electrolyte_noun	vixyuwa_apaGatya
electromagnetic_noun	vixyuwacuMbakIya
electronic_noun	ilektroYnika
electronics_noun	elektroYnikI
