#computer dictionary extracted by Monika Sharma. Formatted by Roja (12-03-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#	   2) English words are converted to lower case
#	   3) Added category as 'noun' by default
#################################################################################
subtree_noun	upawarU
swap_noun	gamAgama
switch_noun	svica
switching_noun	svicana
symbol_noun	prawIka
synchronization_noun	wulyakAlana
synchronous_noun	wulyakAlika
synergic_noun	samanxiwa
syntax_noun	vAkya_racanA
telenet_noun	xUra_jAla
teleprinter_noun	xUra_muxriwra
teletext_noun	xUra_pATqyAMSa
terminal_noun	aMwaka
testing_noun	parIkRaNa
track_noun	paWa
translation_noun	anuvAxa
transmitter_noun	preRiwra
transponder_noun	pArAnukAriwra
transverse_noun	mAlA_reKA
trap_noun	prapASa
trend_noun	upanawi
trigger_noun	trigara
triplet_noun	wrika
truncate_noun	Cinna
truncation_noun	Cinna
trunk_noun	traMka
tymnet_noun	timaneta
type_noun	prakAra
validation_noun	mAnyakaraNa
write_noun	leKana
