#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#	   3) Added category as 'noun' by default
#Added  :: By Roja Lakshmi (06-11-14)	
#######################################
bioassay_noun	jEva_AmApana
biochemical_noun	jEva_rasAyanika
biofertilizer_noun	jEva-urvaraka
biogas_noun	gobara-gEsa/boyogEsa
biomass_noun	jIva_BAra/jEva_mAwrA
biophagous_noun	jIva-BakRI
biosphere_noun	jIva_maMdala
biotechnolgoy_noun	jEva_prOxyogikI
biotic_noun	jIvIya
bleach_noun	raMga_udZanA/vira_Mjana_karanA
bleaching_noun	viraMjana
blend_noun	miSraNa
blending_noun	sammiSraNa
blight_noun	1._aMgamArI/SIrNawA
bloom_noun	KilanA
bloowarm_noun	gUlara_kI_sUMdI/blUvarma
boll_noun	gUlara
borer_noun	beXaka
brackiswater_noun	KArAjala
bract_noun	sahapawra
brawn_noun	BUrA_raMga
breed_noun	nasla
breeding_noun	prajanana
brinjal_noun	bEMgana
broadcasting_noun	CitakAva
brooding_noun	aMde_senA
bud_noun	kalI/mukula
budding_noun	mukulana
callus_noun	kElasa
capital_noun	prawi_vyakwi
carcass_noun	kaMkAla/asWipaMjara
caroing_noun	XunAI
carrot_noun	gAjara
cashewnut_noun	kAjU
castor_noun	aMdI/reMdI/eraMda
catabolism_noun	apapAcana/apacaya
caterpillar_noun	illI
cell_noun	koSikA/koRTikA
census_noun	janagaNanA
cereal_noun	KAxyAnna
chaff_noun	BUsA/BUsI/cokara
characterize_noun	aBilakRaNa
charring_noun	jalakara_kAlA_honA
chlorophyll_noun	parNahariwa/kloroPila
chloroplast_noun	hariwa_lavaka/kloroplAsta
chopping_noun	saMkarwana/tukadZe_karanA
chromatography_noun	varNaleKana
cinamum_noun	wejapAwa
classification_noun	vargIkaraNa
clay_noun	matiyAra/cikanI_mittI
coagulation_noun	skaMxana
coalesce_noun	sammiliwa_honA
coarse_noun	motA/apariRkqwa
cocoon_noun	kosA/koyA
coefficient_noun	guNAMka
cohesion_noun	saMsaMjana
collar-rot_noun	koYlara-roYta/grIvA_vigalana
combat_noun	saMGarRa/sAmanA
compatible_noun	saMgawa/anukUla/anurUpa
camphor_noun	kapUra
complex_noun	sammiSra/jatila
composition_noun	saMGatana
compound_noun	yOgika
comprise_noun	sammiliwa_karanA/vyApwa_karanA,
conclusively_noun	nirNAyaka_rUpa_se/aMwima_rUpa_se
concomitant_noun	susaMgawa/anurUpa/saxqSa
condensed_noun	saMGaniwa
configuration_noun	vinyAsa
conjuctive_noun	saMyojaka/saMyukwa
conservation_noun	saMrakRaNa
considerable_noun	kAPI/viSeRa/mahawvapUrNa/vicAraNIya
constituents_noun	avayava
contaminated_noun	saMxURiwa
contended_noun	vivAxa_karanA
control_noun	niyaMwraNa/sAmAnya_xaSA
convention_noun	samaJOwA
conversion_noun	rUpAMwaraNa/parivarwana
coordination_noun	samanvaya
component_noun	saMGataka/avayava
core_noun	bIjakoRa
coriander_noun	XaniyA
cortex_noun	valkuta
cotton_noun	kapAsa
cotyledon_noun	bIjapawra_(navajAwa_pOXoM_kI_pawwiyAM)
countepart_noun	pUra_ka
coupled_noun	yugma
crisis_noun	saMkata/saMkatAvasWA
critical_noun	krAMwika/nAjuka_sWiwi
cross_noun	saMkara/saMkaraNa
cross-fertilization_noun	para-niSecana
cross-infectivity_noun	para-saMkrAmyawA
crowbar_noun	sabbala
crucial_noun	kaTina/vikata
cryobank_noun	krAyobEMka
curriculum_noun	pATyakrama
cuticle_noun	upawvacA/upacarma/kyUtikala
cytogenetics_noun	koSikAnuvaMSikI
cytology_noun	koSikA_vijFAna
cytomorphologically_noun	koSikA_AkArikI_rUpa_se
cytoplasm_noun	koSikAxravya
cytotypes_noun	koSikA_prarUpa
decayed_noun	sadZA_huA
deciduous_noun	parNapAwI/pawaJadZI
differentiation_noun	viBexana
defoliation_noun	niSpawraNa
deformity_noun	virUpawA
degumming_noun	vigoMxana/goMxa_hatAnA
dehiscence_noun	sPutana
dehydrate_noun	nirjala_karanA
