#geography dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#	   4) Removed information present in  ( ) Ex: Ababdeh abEbade (janajAwi)
		to	ababdeh_noun    abEbade
#################################################################################
ababdeh_noun	abEbade
base_noun	AXAra/kRAraka/aXama/mUla/besa/aXoBAga
basement_noun	AXAra/wahaKAnA
basic_noun	AXArI/mUla/AXAraBUwa
basin_noun	xroNI/besina
basin-structure_noun	besina-saMracanA/xroNI_saMracanA
basketry_noun	karaMda_karma/tokarI_banAnA
basque_noun	bAska
basuto_noun	bAsu
bat_noun	camagAxadZa/jawuka
batch_noun	bEca/sariwA
batholite_noun	bEWolAita
batholithic_noun	mahAskaMXI
bathy_noun	bEWI
bathyal_noun	gaBIra_sAgara
bathygraph_noun	bEWIgrAPa
bathyl_noun	gaBIra
bathymetric_noun	anugaBIra
bathyorographical_noun	bEWIorogrAPIya
bathypitotmeter_noun	bEWIpitoYtamItara
bathyseism_noun	gaBIrakaMpa
bathysphere_noun	krodamaMdala/bEWIsPiyara
bathythermograph_noun	bEWIWarmogrAPa/gaBIra_wApaleKI
battering_noun	saMprahAra
battery_noun	bEtarI
battle-field_noun	raNakRewra
batwa_noun	bAwavA
baud_noun	bOda
bay_noun	vyUha_KaMda/kakRa/KAdZI_upasAgara
bay-bar_noun	KAdZI_roXikA
bay-barrier_noun	KAdZI_roXa
bay-tree_noun	be-vqkRa
bayir_noun	bEyira
bayou_noun	bAIU
bayous_noun	beyasa
beach_noun	pulina/bIca
beach-profile_noun	pulina-paricCexikA/pulina-proPAila
beachcomber_noun	pulina_kaMkawaka
beack_noun	nAlA/beka
beacon_noun	bIkana
beaconing_noun	bIkanana
bead_noun	maNikA/bIda
beaded_noun	maNikAmaya
beaming_noun	kiraNapuMjana
bearing_noun	xikmAna/xikkoNa
beastgate_noun	gocara-BUmi
beating_noun	vispaMxana
beaver_noun	bIvara/sewUxra
bed_noun	saMswara/wala
bedded_noun	saMswariwa
bedding_noun	saMswaraNa/saMswarIBavana/kyArI_banAnA
bedu_noun	bexU
beduin_noun	baxxU
beech_noun	bIca
beehive_noun	CawwA/CawwAXAnI/maXuCawra
belt_noun	katibanXa/meKalA/pattI/pattA
belukar_noun	belyUkara
ben_noun	parvawa-SiKara
bench_noun	benca/vexikA/beMca
bend_noun	baMka/modZa
bending_noun	baMkana
bendway_noun	visarpa/modZa
benelux_noun	benelaksa
bent_noun	SaraGAsa
bent-grass_noun	SaraGAsa
benthic_noun	niwalasWa
benthograph_noun	niwalaciwraleKI
benthonic_noun	niwalasWa
berg_noun	barga/barPa_SEla_/parvawa/plAvI_himaKaMda
berg-till_noun	himaSEla_tila
bergdama_noun	bargadAmA
bergschrund_noun	himaxara/bargaSraMda
bergwind_noun	parvawa-pavana/bargapavana
