"## Structure:";;
"might_have_been_ing";"या_हुआ_हो_सकता_है";
"might_have_en";"शायद+या_होगा";
"might_not_0";"हो_सकता_है_नहीं+एँ";
"might_not_be_en";"नहीं+या_जा_सके{passive}";
"might_not_be_ing";"हो_सकता_है_नहीं+या_हो";
"might_not_have_been_ing";"नहीं+0_रहा_होगा";
"#\"might_not_have_en\"";"हो_सकता_है_नहीं+या_हो";
"might_not_have_en";"हो_सकता_है_नहीं+या_हो";
"must_0";"को:ना_चाहिये";
"must_be_en";"ना_होगा{passive}";
"must_be_ing";"ता_रहा_होगा";
"must_have_been_en";"या_गया_होगा{passive}";
"must_have_been_ing";"0_रहा_होगा{निश्चितरूप_से}";
"must_have_en";"या_होगा{निश्चितरूप_से}";
"must_have_not_been_ing";"नहीं+ता_रहा_होगा{निश्चितरूप_से}";
"must_have_not_en";"नहीं+या_होगा{निश्चितरूप_से}";
"must_not_0";"को:नहीं+ना_चाहिये";
"must_not_be_en";"नहीं+ना_होगा{passive}";
"must_not_be_ing";"नहीं+ता_रहा[होगा]";
"must_not_have_been_en";"नहीं+या_गया_होगा{passive}";
"must_not_have_been_ing";"नहीं+0_रहा_होगा_[सम्भवतः]";
"must_not_have_en";"नहीं+या_होगा";
"need_not_0";"को:नहीं+ना_की_ज़रूरत_है";
"need_to_0";"को:ना_की_ज़रूरत_है";
"never_0";"कभी_नहीं+0";
"not_having_en";"नहीं+ना_के_कारण";
"not_to_0";"नहीं+ना";
"not_en";"नहीं+या_हुआ";
"of_ing";"ने_के_बारे_में";
"on_ing";"ने_पर";
"ought_not_to_0";"को:नहीं+ना_चाहिये";
"ought_not_to_be_en";"को:नहीं+या_जाना_चाहिये{passive}";
"ought_not_to_have_en";"को:नहीं+ना_चाहिये_था";
"ought_to_0";"को:ना_चाहिये";
"ought_to_be_en";"को:या_जाना_चाहिये{passive}";
"ought_to_have_en";"को:ना_चाहिये_था";
"shall_0";"{शिष्ट}_गा";
"shall_have_to_0";"ना_होगा";
"shall_be_en";"या_जायेगा{passive}";
"shall_not_0";"नहीं+गा{शिष्ट}";
"should_0";"को:ना_चाहिये";
"should_be_en";"या_जाना_चाहिये{passive}";"को:या_जाना_चाहिये{passive}

sriram
"
"should_be_ing";"ना_चाहिये";
"## It should be done";;
"should_be_to_0";"को:ना_का_चाहिये_होना";
"should_have_been_en";"को:ना_चाहिये_था{passive}";
"should_have_been_ing";"को:ता_रहना_चाहिये_था";
"#\"should_have_en\"";"को:ना_चाहिये_था";
"should_have_en";"को:ना_चाहिये_था";
"should_not_0";"को:नहीं+ना_चाहिये";
"should_never_0";"को:कभी_नहीं+ना_चाहिये";
"should_not_be_en";"को:नहीं+0_जाना_चाहिये{passive}";
"should_not_be_to_0";"नहीं_चाहिये_होना_का_ना";
"should_not_have_been_en";"को:नहीं+या_चाहिये_था{passive}";
"should_not_have_been_ing";"को:नहीं+ता_रहना_चाहिये_था";
"should_not_have_en";"को:नहीं+ना_चाहिये_था";
"to_0";"ने_के_लिये";
"to_be_en";"या_हुआ_होना{passive}";
"#This book is to be read ( yaha puswaka paDane ke liye hE-> yaha puswaka hE paDI huI honI)";;
"to_be_ing";"ता_हुआ_[होना]";
"towards_ing";"ने_के_लिये";
"used_to_0";"या_करता_था";
"was_being_en";"या_जा_रहा_था{passive}";
"was_en";"या_गया_था{passive}";
"got_en";"या_गया";
"was_never_en";"कभी_नहीं+या_गया_था{passive}";
"was_en_born";"या_था{passive}";
"was_going_to_0";"ने_वाला_था";
"was_not_going_to_0";"नहीं+ने_वाला_था";
"was_ing";"0_रहा_था";
"was_not_being_en";"नहीं+या_जा_रहा_था{passive}";
"was_not_en";"नहीं+या_था{passive}";
"was_not_ing";"नहीं+0_रहा_था";
"was_not_to_be_en";"नहीं+या_जाना_था{passive}";
"was_not_to_0";"नहीं+ने_वाला_था";
"was_to_0";"ने_वाला_था";
"# ko:nA_WA -> ne_vAlA_WA; ex: Mohan was not to eat his breakfast.";;
"#Mohan has to go Vs Mohan was to go; has to go -> ko:nA_WA";;
"was_to_be_en";"या_जाना_था{passive}";
"were_being_en";"या_जा_रहा_था{passive}";
"were_en";"या_गया_था{ब.}{passive}";
"were_en_born";"या_था{ब.}{passive}";
"were_going_to_0";"ने_वाला_था{ब.}";
"were_not_going_to_0";"नहीं+ने_वाला_था{ब.}";
"were_ing";"0_रहा_था{ब.}";
"were_not_being_en";"नहीं+या_जा_रहा_था{passive}";
"were_not_en";"नहीं+या_था{ब.}{passive}";
"were_not_ing";"नहीं+0_रहा_था{ब.}";
"were_not_to_be_en";"नहीं+या_जाना_था{ब.}{passive}";
"was_not_to_0";"नहीं+ने_वाला_था";
"were_to_0";"ने_वाला_था";
"were_to_be_en";"या_जाना_था{ब.}{passive}";
"will_0";"गा";
"will_be_en";"या_जायेगा{passive}";
"will_be_ing";"0_रहा_होगा";
"will_have_en";"0_लिया_होगा";
"will_have_been_being_en";"yA_जा_रहा_होगा{passive}";
"will_have_to_0";"को:ना_पडेगा";
"will_have_to_0";"को:ना_होगा";
"will_have_to_be_en";"ना_पडेगा{passive}";
"will_have_been_en";"या_हुआ_होगा{passive}";
"will_not_have_been_en";"या_हुआ_नहीं_होगा{passive}";
"will_need_to_0";"ना_की_ज़रूरत_होगी";
"will_need_to_0";"ना_पडेगा";
"will_not_0";"नहीं+गा";
"will_never_0";"कभी_नहीं+गा";
"will_not_be_en";"नहीं+गा{passive}";
"will_not_be_ing";"नहीं+0_रहा_होगा";
"will_not_have_en";"नहीं+0_लिया_होगा";
"will_not_have_to_0";"नहीं+ना_होगा";
"will_not_have_to_be_en";"नहीं+ना2_पडेगा{passive}";
"without_ing";"या_बिना";
"would_0";"गा`";
"would_be_en";"या_जायेगा{passive}";
"would_be_ing";"0_रहा_होगा";
"would_have_been_en";"या_होगा{passive}";
"would_have_en";"या_होता";
"would_have_to_0";"को:ना_होगा{अनिश्चित}";
"would_have_to_be_en";"ना_होगा{passive}";
"would_like_to_0";"ना_पसन्द_कर_गा";
"should_like_to_0";"ना_पसन्द_कर_गा";
"would_never_0";"कभी_नहीं+गा";
"would_not_0";"नहीं+गा`";
"would_not_0";"नहीं+या`_होता";
"would_not_be_en";"नहीं+या_जायेगा{passive}";
"would_not_be_ing";"नहीं+0_रहा_होगा";
"would_not_have_been_en";"नहीं+या_होगा{passive}";
"would_not_have_en";"नहीं+या_होता";
"would_not_have_to_be_en";"नहीं+ना_होगा{passive}";
