#TODO ::	Hindi meaning spellings need to be checked
#Giving category as 'UNKNOWN' for the words whose category is not known
#######################################################################
#Eng-wrd_Category	IIT-Bombay/Shabdanjali meaning
########################################################################
A_noun	e
Eurocrat_noun	yUropIya_praSAsanAXikArI
Europe_noun	yUropIya_saMGa/yUropa
European_adjective	yUropIya/yuropIya
European_noun	yUropIya_saMGa_kA_samarWaka/yUropavAsI
Eve_noun	hOvA
Excellency_noun	mahAmahima
Expressionism_noun	aBivyaMjanAvAxa
F_noun	ePZa
FORTRAN_noun	kampyUtara_nirxeSa_kI_BARA
Falkner_noun	PZOknara
Farsi_noun	PZArasI
Fascist_noun	PZasistavAxI
Fatah-RC_noun	PZawaha_Ara-sI
Father_noun	parama_piwA
Faulkner_noun	PZOknara
Feb_noun	ParavarII
February_noun	PZaravarI
Field-Marshal_noun	PIlda_mArSala{senA_kA_sarvocca_ohaxA}
Fine-tune_verb	pUrNa_vivaraNa_meM_jAnA
Fleet-Admiral_noun	PlIta_edamirala{nOsenA_kA_ucca_aXikArI}
Fleet-Street_noun	PlIta_strIta{laMxana_kI_eka_sadZaka_kA_nAma}
Flight-Sergeant_noun	PlAita_sArjEMta{vAyusenA_paxavI}
Foot-stool_noun	pAzva_raKane_kI_cOkI
Ford_noun	Porda
Formica_noun	PZarmAikA
France_noun	PZrAMsa
Freefone_noun	PrIPona
Freemason_noun	gupwa_saMsWA_kA_saxasya/anwarrARtriya_gupwa_saBA_kA_saxasya
Freemassonry_noun	gupwa_saMsaxa
Freepost_noun	niHSulka_dAka
French_adjective	PZrAMsIsI
French_noun	PZrAMsIsI_BARA/PZrAMsavAsI
French-polish_verb	PreMca_pAliSa_lagAnA
Frenchman_noun	PrAMsIsI_vyakwi
Frenwoman_noun	PrAMsIsI_mahilA
Freudian_adjective	PZrAyadI
Freudian-slip_noun	nija_BAvoM_kI_akasmAw_tIkA
Friday_noun	SukravAra
Friend_noun	sosAitI_oYPZa_PZrendjZa_kA_saxasya
Friendly-Society_noun	sahAyawA_karane_vAlA_saMGa
Friesian_noun	PZrIjZana_gAya
Frisbee_noun	PZrijZbI
Fulbright_noun	PZulabrAita
G_noun	eka_hajZAra
GB_noun	jI_bI
GM_noun	gI_ema
GMT_noun	jI_ema_tI
GNP_noun	kula_rARtrIya_uwpAxana
GP_noun	daktara
Gaelic_adjective	AyaralEMdZa_Ora_skAtalEMdZa_kI_BARA
Gaelic_noun	kelta_BARA
Gallic_adjective	PZrAnsIsI/PrAMsIsi_jEsA
Gallup-poll_noun	janamawa_nirXAriwa_karane_kA_mawaxAna
Gamma_noun	gAmA
Gates_noun	getsa
Gautama_noun	gOwama
Gemini_noun	miWunaa/miWuna
Geneva_noun	jenIvA
Gentile_adjective	gEra-yahUxI_saMbaMXI
Gentile_noun	gEra-yahUxI
George_noun	jarja
Georgian_adjective	jarjakAlIna/britiSa_bAxaSAha_jorja_ke_samaya_kA
German_adjective	jarmanI_kA/jarmanI_se
German_noun	jarmanI_vAsI/jarmana_BARA/jarmana_xeSa_kA_nivAsI
Germanic_adjective	jarmanika_BARA-parivAra_saMbaMXI/jarmanI_jEsA
Germany_noun	jarmanI
Gestapo_noun	nAjZI_pArtI_kI_KuPiyA_pulisa
Gipsy_adjective	jipsI
Gipsy_noun	KAnAbaxoSa/jipsI
Giza_noun	gIjZA
Gizeh_noun	gIjZA
Gladstone_noun	glEdastanaa/glEdastana
Glasgow_noun	glAsago
Gloucester_noun	glUsestara
Gloucestershire_noun	glOstershara
God_INDC	he_BagavAna
God_noun	ISvara/BagavAna
God-fearing_adjective	awyaXika_XArmika
God-forsaken_adjective	sUnA/apriya
God-given_adjective	BagavAna_ne_xiyA_huAA
Godfather_noun	saraganA
Gogh_noun	gO
Goliath_noun	samrAta/goliyaWa
Gospel_noun	IsopaxeSa/IsA_cariwa
Gothic_adjective	gaWika_BARA_saMbaMXI/gaWika_akRara_saMbaMXI/gaWa_logoM_se_saMbaMXiwa
Gothic_noun	gaWika_vAswukalA/gaWika_BARA
Governor-General_noun	gavarnara_janarala
Grecian_adjective	yUnAnI
Grecian_noun	yUnAnI
Greece_noun	yUnAna
Greek_adjective	yUnAna_saMbaMXI
Greek_noun	yUnAnI_BARA/yUnAna_vAsI
Greek-style_adjective	grIka_SElI_kA
Gregorian_adjective	gregarI_saMbaMXI
Grey_noun	gre
Grimm_noun	grima
Grundyism_noun	kapatalajjASIlawA
Gujarati_adjective	gujarAwI
Gujarati_noun	gujarAwI
Gujerati_adjective	gujarAwI
Gujerati_noun	gujarAwI
Gypsy_adjective	jipsI
Gypsy_noun	KAnAbaxoSa/jipsI_BARA/jipsI
H_noun	eca
H-bomb_noun	hAidrojana_bama/hAidorjana_bama
HIV_noun	eca_AI_vII
HIgh-court_noun	ucca_nyAyAlaya
HP_noun	harsapavara/aSvaSakwi[iMjana_kI]
HQ_noun	muKyAlaya
Ha_noun	eca_e
Habegger_noun	Habegger
Hallowe'en_noun	hEloIna
Halloween_noun	hEloIna/hElovIna/31_akwUbara_meM_mqwakoM_ke_AwmA_kA_uTane_kA_xivasa
Hammurabi_noun	hamurAbI
Hammurapi_noun	hamurApI
Hampshire_noun	hEMpSara
Hanumana_noun	hanumAna
Harijan_noun	aCUwa
Harrison_noun	hErisana
Harvey_noun	hArvI
