vyavahAra_kara	vyavahAra
xerI_kara	xerI
JUTA_kara	JUTA
viSvAsa_kara	viSvAsa
CotA_kara	CotA
xuKa_prakata_kara	xuKa_prakata
BalA_kara	BalA
vasIyawa_kara	vasIyawa
CIna_le	CIna_lenA
praxAna_kara	praxAna
viSvAsaGAwa_kara	viSvAsaGAwa
hErAna_kara	hErAna
jAxU_kara	jAxU
JagadZA_kara	JagadZA
blEkamela_kara	blEkamela_kara
ISvaraninxA_kara	ISvaraninxA
ujalA_karanA/niKAra	ujalA_karanA/niKAranA
milAnA/miSraNa_kara	milAnA/miSraNa
anXA_kara	anXA
AzKa_banxa_kara_xenA/BatakA_xe	AzKa_banxa_kara_xenA/BatakA_xenA
rokanA/banxa_kara	rokanA/banxa
nAkAbaMxI_kara	nAkAbaMxI
CIlanA/2.xAgaxAra_karanA/XabbA_lagA	CIlanA/2.xAgaxAra_karanA/XabbA_lagAnA
visPota_kara	visPota
kroXa_kara	kroXa
badA_kara	badA
ninxA_kara	ninxA
BArI_BUla_karane_vAlA	BArI_BUla_karane_vAlA
XuMXalA_kara	XuMXalA
nOkA-vihAra_kara	nOkA-vihAra
jahAjZa_ke_JaNdoM_Axi_kI_xeKaBAla_karanevAlA_aXikArI	jahAjZa_ke_JaNdoM_Axi_kI_xeKaBAla_karanevAlA_aXikArI
Upara_nIce_kara	Upara_nIce_kara
BaviRya_sUciwa_kara	BaviRya_sUciwa
lambI_cOdZI_bAwacIwa_kara	lambI_cOdZI_bAwacIwa
buka_kara	buka
Cexa_karanA_yA_Bexa	Cexa_karanA_yA_BexanA
prabanXa_karanA/xeKaBAla_kara	prabanXa_karanA/xeKaBAla
waMga_kara	waMga
bowala_meM_banxa_karanA/baMXana_meM_raKa	bowala_meM_banxa_karanA/baMXana_meM_raKanA
bakse_meM_banxa_kara	bakse_meM_banxa
bahiRkAra_kara	bahiRkAra
xqDZa_kara	xqDZa
koRTa_meM_banxa_kara	koRTa_meM_banxa
sAmanA_karanA/lalakAra	sAmanA_karanA/lalakAranA
xarAra_kara	xarAra
BaMga_kara	BaMga
kama_kara	kama
pExA_kara	pExA_kara
ujjavala_kara_xe	ujjavala_kara_xenA
upasWApiwa_kara	upasWApiwa_kara
carcA_kara	carcA
cAroM_ora/PeMka_kara	cAroM_ora/PeMka_kara
prasAriwa_kara	prasAriwa
cOdZA_kara	cOdZA
garma_kara	garma
cinwA_kara	cinwA
bruSa_se_JAdanA_yA_sAPa_kara	bruSa_se_JAdanA_yA_sAPa
anaxeKA_kara	anaxeKA
bruSa_se_sAPa_kara	bruSa_se_sAPa
punaH_aByAsa_kara	punaH_aByAsa
inakAra_kara	inakAra
XakkA_mukkI_kara	XakkA_mukkI
pareSAna_kara	pareSAna
baga_kara	baga
nirmANa_kara	nirmANa
sWApiwa_karanA/bala_xe	sWApiwa_karanA/bala_xenA
GapalA_kara	GapalA
corI_kara	corI_kara
xaPana_karanA/mittI_xe	xaPana_karanA/mittI_xenA
galA_GoMta_kara_mAra	galA_GoMta_kara_mAranA
parihAsa_kara	parihAsa
nirxayawA_se_vaXa_kara	nirxayawA_se_vaXa
banxa_kara	banxa
gaNanA_kara	gaNanA_kara
banxa_kara	banxa
nimaMwriwa_kara	nimaMwriwa
telIPona_kara	telIPona
SAnwa_kara	SAnwa
CaxamAvaraNa_kara	CaxamAvaraNa
raxxa_kara	raxxa_kara
raxxa_kara	raxxa
paraganoM_meM_viBAjiwa_kara	paraganoM_meM_viBAjiwa
newqwva_kara	newqwva
kExa_karanevAlA	kExa_karanevAlA
paravAha_karanA/cinwA_kara	paravAha_karanA/cinwA
praSaMsAgAna_karanA/AnanxagIwa_gA	praSaMsAgAna_karanA/AnanxagIwa_gAnA
KUba_maxyapAna_kara	KUba_maxyapAna
CotI_wucCa_bAwoM_kI_SikAyawa_kara	CotI_wucCa_bAwoM_kI_SikAyawa
praBAviwa_kara	praBAviwa
smaraNa_kara	smaraNa
bahasa_kara	bahasa
pUrNa_kara	pUrNa
kaTina_samaya_meM_kisI_kI_sahAyawA_kara	kaTina_samaya_meM_kisI_kI_sahAyawA
kAta_kara_ciwra_banA	kAta_kara_ciwra_banAnA
paxacyuwa_karanA/nikAla_xe	paxacyuwa_karanA/nikAla_xenA
napuMsaka_kara	napuMsaka
kAraNa_honA/uwpanna_kara	kAraNa_honA/uwpanna
sAvaXAna_kara	sAvaXAna
kAta_CAzta_kara	kAta_CAzta
niMxA_kara	niMxA
kenxrIyakaraNa_kara	kenxrIyakaraNa
pramANiwa_kara	pramANiwa
hazsI_meM_KijAnA/waMga_kara	hazsI_meM_KijAnA/waMga
japa_kara	japa
japa_karanA/alApa	japa_karanA/alApanA
cOkasI_karanevAlI_swrI	cOkasI_karanevAlI_swrI
cOkasI_kara	cOkasI
cariwra_ciwraNa_kara	cariwra_ciwraNa
uwwejiwa_karanA/ho	uwwejiwa_karanA/honA
bijalI_saMcaya_karane_ke_yaMwra_meM_bijalI_Bara	bijalI_saMcaya_karane_ke_yaMwra_meM_bijalI_BaranA
mohiwa_kara	mohiwa
pICA_kara	pICA
pICA_kara	pICA
nigraha_kara	nigraha
xaNda_xenA/wAdZanA_kara	xaNda_xenA/wAdZanA
gapaSapa_kara	gapaSapa
bakabaka_kara	bakabaka
kapata_kara	kapata
saMyamiwa_kara	saMyamiwa
nAma_xarja_kara	nAma_xarja
nAma_xarja_kara	nAma_xarja
jAzca_kara	jAzca
sawya_kI_jAzca_kara	sawya_kI_jAzca
bila_Barakara_jagaha_KAlI_kara	bila_Barakara_jagaha_KAlI
jAzca_kara	jAzca
jAzca_kara	jAzca_kara
harRiwa_kara	harRiwa
snehapUrvaka_raKanA/XyAna_kara	snehapUrvaka_raKanA/XyAna
JaMkAra_kara	JaMkAra
cUz-cUz_karanA/cIM-cIM_kara	cUz-cUz_karanA/cIM-cIM
gapaSapa_kara	gapaSapa
besuXa_karane_kI_ORaXi/kloroPArma	besuXa_karane_kI_ORaXi/kloroPArma
nyAyaXISa_xvArA_mukaxxamA_sunane_hewu_kisI_sWAna_kA_niyamiwa_BramaNa_kara	nyAyaXISa_xvArA_mukaxxamA_sunane_hewu_kisI_sWAna_kA_niyamiwa_BramaNa
gawiroXa_pExA_kara	gawiroXa_pExA
SaharIkaraNa_karanA2	SaharIkaraNa_karanA2
asEnika_karmacArI	asEnika_karmacArI
karkaSa_Sabxa_kara	karkaSa_Sabxa
AcCAxiwa_kara	AcCAxiwa
xAvA_kara	xAvA
kolAhala_karanA/cillA	kolAhala_karanA/cillAnA
spaRta_kara	spaRta
vargIkaraNa_kara	vargIkaraNa
SAswrIya_praNAlI_kA_anusarana_karanevAlA	SAswrIya_praNAlI_kA_anusarana_karanevAlA
vargIkqwa_kara	vargIkqwa
KadZaKadZa_kI_AvAjZa_kara	KadZaKadZa_kI_AvAjZa
klAstroPobiyA	klAstroPobiyA
banxa_jagaha_meM_Gutana_mahasUsa_karanevAlA	banxa_jagaha_meM_Gutana_mahasUsa_karanevAlA
